,2004 Estimated VAP,2004 Est. Citizen VAP,Reported Registration,Ballots Counted,Counted of Registration,Active Registration,Counted of VAP,Counted of Citizen VAP
Red Lake County,"3,456 ","3,439 ","2,329 ","2,200 ",94.5 ,94.5 ,63.7 ,64.0 
Redwood County,"12,394 ","12,373 ","8,614 ","8,242 ",95.7 ,95.7 ,66.5 ,66.6 
Renville County,"12,749 ","12,541 ","8,942 ","8,495 ",95.0 ,95.0 ,66.6 ,67.7 
Rice County,"47,124 ","45,211 ","34,822 ","31,004 ",89.0 ,89.0 ,65.8 ,68.6 
Rock County,"7,402 ","7,361 ","5,518 ","5,248 ",95.1 ,95.1 ,70.9 ,71.3 
Roseau County,"12,102 ","11,880 ","8,219 ","7,976 ",97.0 ,97.0 ,65.9 ,67.1 
St. Louis County,"158,279 ","157,169 ","130,250 ","120,644 ",92.6 ,92.6 ,76.2 ,76.8 
Scott County,"82,203 ","79,813 ","58,613 ","60,797 ",103.7 ,103.7 ,74.0 ,76.2 
Sherburne County,"57,074 ","56,683 ","40,521 ","41,588 ",102.6 ,102.6 ,72.9 ,73.4 
Sibley County,"11,473 ","11,210 ","8,630 ","8,001 ",92.7 ,92.7 ,69.7 ,71.4 
Stearns County,"106,650 ","104,806 ","80,095 ","76,338 ",95.3 ,95.3 ,71.6 ,72.8 
Steele County,"26,379 ","25,847 ","19,165 ","18,904 ",98.6 ,98.6 ,71.7 ,73.1 
Stevens County,"8,093 ","7,990 ","7,001 ","6,021 ",86.0 ,86.0 ,74.4 ,75.4 
Swift County,"9,815 ","9,719 ","5,904 ","5,787 ",98.0 ,98.0 ,59.0 ,59.5 
Todd County,"18,551 ","18,300 ","13,380 ","12,387 ",92.6 ,92.6 ,66.8 ,67.7 
Traverse County,"3,070 ","3,070 ","2,214 ","2,189 ",98.9 ,98.9 ,71.3 ,71.3 
Wabasha County,"17,120 ","16,854 ","12,560 ","11,972 ",95.3 ,95.3 ,69.9 ,71.0 
Wadena County,"10,319 ","10,288 ","7,712 ","7,143 ",92.6 ,92.6 ,69.2 ,69.4 
Waseca County,"14,768 ","14,625 ","10,330 ","9,930 ",96.1 ,96.1 ,67.2 ,67.9 
Washington County,"160,055 ","157,257 ","133,857 ","128,622 ",96.1 ,96.1 ,80.4 ,81.8 
Watonwan County,"8,497 ","7,874 ","6,268 ","5,629 ",89.8 ,89.8 ,66.2 ,71.5 
Wilkin County,"5,248 ","5,223 ","3,694 ","3,569 ",96.6 ,96.6 ,68.0 ,68.3 
Winona County,"39,520 ","38,736 ","29,564 ","27,815 ",94.1 ,94.1 ,70.4 ,71.8 
Wright County,"78,667 ","78,216 ","58,292 ","59,885 ",102.7 ,102.7 ,76.1 ,76.6 
Yellow Medicine County,"8,133 ","8,069 ","6,182 ","5,820 ",94.1 ,94.1 ,71.6 ,72.1 
