Year,White_Prop,Black or African American_Prop,American Indian and Alaska Native_Prop,Asian_Prop,Native Hawaiian and Other Pacific Islander_Prop,Some other race_Prop,Two or more races_Prop,Hispanic or Latino (of any race)_Prop,Turnout,Turnout_R,Turnout_DFL,FemaleProp
2010,0.843448236134135,0.057028165055547114,0.01043943826928115,0.04528067823326487,0.0003612268724907666,0.016198521042887114,0.02724373439239402,0.05063890741804791,0.5272155343392801,0.24102722372797525,0.24879503892721966,0.5085049941452746
2012,0.843448236134135,0.057028165055547114,0.01043943826928115,0.04528067823326487,0.0003612268724907666,0.016198521042887114,0.02724373439239402,0.05063890741804791,0.7196645249908785,0.3219891342309771,0.3770940360215169,0.5076891071104547
2014,0.843448236134135,0.057028165055547114,0.01043943826928115,0.04528067823326487,0.0003612268724907666,0.016198521042887114,0.02724373439239402,0.05063890741804791,0.47779942824229826,0.20387679729362265,0.2525490984097539,0.5070769522945363
2016,0.843448236134135,0.057028165055547114,0.01043943826928115,0.04528067823326487,0.0003612268724907666,0.016198521042887114,0.02724373439239402,0.05063890741804791,0.7009901256656178,0.3124285024697644,0.3230002182121154,0.5062797384855323
