COUNTYNAME,2010Votes,2010Votes_R,2010Votes_DFL,2010Votes_Total,2012Votes,2012Votes_R,2012Votes_DFL,2012Votes_Total,2014Votes,2014Votes_R,2014Votes_DFL,2014Votes_Total,2016Votes,2016Votes_R,2016Votes_DFL,2016Votes_Total
Pine,10995,5551,4719,10880,14089,6845,6750,13965,10504,4531,5360,10425,13954,8191,4580,13811
Pipestone,3618,2024,1287,3533,4682,2826,1725,4646,3909,2119,1384,3813,4847,3338,1127,4808
Polk,10889,3241,7080,10730,14782,7615,6773,14693,9885,4522,4778,9805,14962,8979,4712,14796
Pope,5299,1607,2976,5193,6285,3142,2981,6246,4990,2143,2595,4944,6368,3793,2106,6319
Ramsey,192955,62620,114553,188788,280010,86800,184938,278822,181593,56010,118768,180893,274780,70894,177738,273143
Red Lake,1620,376,1152,1598,2004,978,928,1975,1491,605,779,1469,1915,1141,540,1881
Redwood,6125,2533,3036,5975,7847,4570,3008,7790,5578,2848,2342,5516,7703,5137,1887,7611
Renville,6364,2496,3233,6257,7762,4149,3394,7710,5783,2556,2911,5742,7687,4890,2117,7606
Rice,23478,12789,10190,23001,32415,14384,17054,32267,21583,8603,12045,21493,32691,15429,14437,32443
Rock,3706,2019,1410,3663,4874,2810,1946,4846,3195,1793,1141,3156,4908,3091,1373,4839
Roseau,6683,2462,3781,6526,7414,4409,2772,7352,5461,3043,2083,5405,7883,5451,1856,7804
St. Louis,85295,33635,48282,84815,116221,39131,73378,115594,81928,26114,52347,81598,113351,44630,57771,112422
Scott,47991,32255,14908,47202,71965,40323,29712,71647,45324,24963,18597,45202,75474,39948,28502,75029
Sherburne,33092,18850,11488,32883,46708,27848,17597,46509,30638,17390,11745,30449,48533,31053,13293,48283
Sibley,6014,2521,2628,5804,7868,4693,2916,7815,6086,2995,2632,6013,7841,5193,1954,7774
Stearns,55815,26822,23452,55390,78926,43015,33551,78477,51662,25329,23607,51246,80202,47617,25576,79592
Steele,14850,6450,7233,14606,19228,9903,8706,19124,12645,6147,5797,12576,19352,11198,6241,19179
Stevens,4435,1530,2568,4319,5683,2766,2742,5652,4284,1878,2216,4250,5468,2799,2116,5398
Swift,4522,1314,2780,4416,5407,2248,2751,5119,4159,1591,2345,4124,5071,2963,1686,4994
Todd,9395,3140,4629,9234,11867,6719,4819,11803,8959,4398,3958,8847,12073,8485,2783,11993
Traverse,1807,514,1148,1756,1869,861,943,1847,1564,572,882,1533,1823,1049,630,1798
Wabasha,9028,3925,4214,8914,11847,6049,5415,11763,8469,3836,4043,8384,11938,6989,3866,11832
Wadena,5474,3020,2049,5396,6853,4143,2492,6791,5157,2841,2041,5124,7011,4837,1684,6934
Waseca,7937,3365,3826,7816,9831,5116,4370,9747,6616,3017,3205,6580,9749,5967,2838,9653
Washington,103725,50345,46479,102599,142556,69137,70203,142133,96276,45475,47350,95921,145263,64428,67086,144235
Watonwan,4282,1691,2183,4216,5179,2517,2494,5144,3734,1563,1943,3705,5067,2768,1814,4998
Wilkin,2458,897,1423,2425,3240,1884,1258,3222,2354,1147,1045,2333,3342,2129,893,3302
Winona,18455,7630,9428,18191,27399,11480,14980,27232,16029,6690,8252,15872,26309,12122,11366,26074
Wright,48199,27412,16669,47866,68103,40466,25741,67816,45007,25496,17326,44742,70122,43274,20334,69618
Yellow Medicine,4174,1523,2324,4125,5456,2806,2465,5414,4019,1772,2057,3993,5322,3382,1524,5276
