Year,Votes,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,McLeod,Mahnomen,Marshall,Martin,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,St. Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine,District
2012,403847,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,3
2012,373284,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,4
2012,376626,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,5
2012,367026,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,6
2012,338652,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,7
2012,364734,9219,187085,16471,22189,19755,2816,34463,14030,18545,53079,16211,6248,29578,29032,4231,3343,5916,35067,231571,10399,21114,7771,10946,16817,25923,3509,682764,10517,11616,20316,24060,5499,8188,21546,2452,6514,4007,6855,2247,14866,3148,12461,18650,2200,4935,11039,12311,13179,16837,18675,4815,18453,8600,3253,78681,31835,6563,14089,4682,14782,6285,280010,2004,7847,7762,32415,4874,7414,116221,71965,46708,7868,78926,19228,5683,5407,11867,1869,11847,6853,9831,142556,5179,3240,27399,68103,5456,8
2014,229564,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,1
2014,248549,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,2
2014,273488,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,3
2014,246088,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,4
