Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race),Year,Turnout,Turnout_R,Turnout_DFL,TotalPop,FemaleProp,MillenialProp,GenXProp,BoomerProp,SilentProp,Midterms,Region_Central,Region_Northland,Region_Northwest,Region_Southern,Region_Southwest,Region_Twin Cities,Region_West Central,Prop Above Bachelor
0.9500699656532248,0.0039435186363058145,0.01965398804223381,0.003307467243353263,0.00012721027859051014,0.0005088411143620407,0.02238900903192978,0.01183055590891744,2010,0.5581867388362652,0.27680048113065703,0.2413170951736581,13302,0.4954142234250489,0.13486693730266125,0.19794015937453013,0.42256803488197264,0.2228236355435273,1,0,1,0,0,0,0,0,0.16
0.8546047021383213,0.05201480443898737,0.006581704268730458,0.04144187968316392,0.0003135540323927689,0.014921655448074571,0.030121699990329643,0.04057740828544552,2010,0.5361604943800099,0.2699671471781991,0.2171868702700282,245641,0.5041585077409716,0.2536669367084485,0.3142024336328219,0.3143123501369885,0.08444030108980179,1,0,0,0,0,0,1,0,0.28200000000000003
0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445686,0.033318352059925095,0.01758801498127341,2010,0.4850262804058184,0.18282198590229395,0.2680601393472681,24543,0.4995721794401662,0.2060465305789838,0.23648290755001425,0.3675997229352565,0.16191989569327306,1,0,0,0,0,0,0,1,0.23700000000000002
0.7361318026465691,0.009114012794671807,0.2107834545613881,0.008566295679607394,0.0010516168609236698,0.0024318639908859872,0.0319209534659539,0.020703706949434755,2010,0.4843941706317144,0.1898434928329892,0.2580722386809109,33417,0.506568513032289,0.3004159559505641,0.21779333871981327,0.30032618128497474,0.12302121674596762,1,0,0,1,0,0,0,0,0.268
0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.01883062574448133,0.020047139924474745,2010,0.4776165803108808,0.2408635578583765,0.1861139896373057,28950,0.502279792746114,0.316580310880829,0.2656303972366149,0.2710189982728843,0.11378238341968913,1,1,0,0,0,0,0,0,0.222
0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328,2010,0.5351066379103763,0.1763719146896717,0.3124850227653966,4173,0.5149772346034028,0.16510903426791276,0.2053678408818596,0.3522645578720345,0.2504193625688953,1,0,0,0,0,1,0,0,0.166
0.9163970453574264,0.033056589951773394,0.004013796471521885,0.02055735303095049,0.0001220926683352665,0.004532690311946768,0.02132043220804591,0.03076735242048715,2010,0.43687440707827535,0.16619232928694508,0.2427639348705737,51651,0.4988286770827283,0.3805734642117287,0.1923099262356973,0.2420475886236472,0.10758746200460784,1,0,0,0,1,0,0,0,0.317
0.9707821692265172,0.002250562640660165,0.002211079085560864,0.006554270146483989,0.0005922533264895171,0.00939708611363367,0.008212579460654637,0.038970268883010216,2010,0.5214696548988497,0.25307417691392303,0.22972034906783026,20168,0.5125446251487505,0.2165807219357398,0.2288278460928203,0.33330027766759224,0.18360769535898447,1,0,0,0,1,0,0,0,0.208
0.8936925765176709,0.014796234710557462,0.051800913139056416,0.0060875937094865004,0.00019728312947409955,0.0017755481652668961,0.031649850628487686,0.016628149484245534,2010,0.5090506095308459,0.2124122644994459,0.27159216845216105,27070,0.4787587735500554,0.2231621721462874,0.2725526413003325,0.33258219431104546,0.1398226819357222,1,0,1,0,0,0,0,0,0.21999999999999997
0.9285692226923196,0.014288214282037819,0.0013897038386708257,0.027505841903173667,0.0007720576881504586,0.005497050739631265,0.021977908856016387,0.04042494055155802,2010,0.5797331837167259,0.40343494794588863,0.16598092388255095,64164,0.5091484321426345,0.22973941774203605,0.3589240072314693,0.2967396047627953,0.08216445358768157,1,0,0,0,0,0,1,0,0.461
0.8491949848077394,0.003492473719135264,0.11085111584535326,0.005797506373764538,0.0004540215834875842,0.0012572905388886946,0.028952607131631336,0.018195788076694724,2010,0.582984223192798,0.3117479276227828,0.22207861663249845,22438,0.4904626080755861,0.1712273821196185,0.22190034762456548,0.4039575719761119,0.17443622426241198,1,1,0,0,0,0,0,0,0.209
0.9289955467590302,0.005360382648853703,0.01459673428995547,0.006679861454725385,0.010720765297707406,0.01756556160316675,0.016081147946561108,0.060201220517895435,2010,0.5145824590851867,0.19114561477129668,0.28441040704993703,9532,0.5163659253042383,0.2096097356273605,0.2335291649181704,0.34074695761644985,0.1863197650020982,1,0,0,0,0,1,0,0,0.164
0.9564959937824984,0.012435003053237356,0.004033974204770452,0.007068707092762902,7.401787531688903e-05,0.0019799781647267816,0.017912325826687146,0.01931866545770804,2010,0.572474414203541,0.3133544161956224,0.21564281979132946,40159,0.4832789661097139,0.2240593640279888,0.3241614582036405,0.3144002589705919,0.10480838666301452,1,1,0,0,0,0,0,0,0.22
0.922217517344712,0.020699651477150586,0.01254030813328556,0.010488257711475196,0.00042343897592912283,0.004283248102667666,0.029347578254779974,0.04206703364711247,2010,0.4245247692680456,0.12630234146126568,0.2710412123615057,45399,0.5145047247736735,0.33097645322584196,0.2238155025441089,0.25886032731998504,0.11511266767990486,1,0,0,0,0,0,0,1,0.33
0.8630762209036971,0.003308991328160657,0.09185303514376997,0.004564125969876769,0.0012551346417161114,0.0013692377909630307,0.03457325422181652,0.01711547238703788,2010,0.5490136106438294,0.2157822296987307,0.2930111637865117,6539,0.5002293928735281,0.19834837131059804,0.24132130295152165,0.35097109649793545,0.17892644135188868,1,0,0,1,0,0,0,0,0.146
