COUNTYNAME,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race),Year,Turnout,Votes,Votes_R,Votes_DFL,Turnout_R,Turnout_DFL,TotalPop,FemaleProp,Midterms
Cass,24315,100,3174,166,13,36,829,521,0.8491949848077394,0.0034924737191352638,0.11085111584535326,0.005797506373764538,0.0004540215834875842,0.0012572905388886946,0.028952607131631336,0.018195788076694724,2010,0.582984223192798,13081,6995,4983,0.3117479276227828,0.22207861663249845,22438,0.4904626080755861,1
Chippewa,11265,65,177,81,130,213,195,730,0.9289955467590302,0.005360382648853703,0.01459673428995547,0.0066798614547253846,0.010720765297707406,0.01756556160316675,0.016081147946561108,0.060201220517895435,2010,0.5145824590851867,4905,1822,2711,0.19114561477129668,0.28441040704993703,9532,0.5163659253042383,1
Chisago,51690,672,218,382,4,107,968,1044,0.9564959937824984,0.012435003053237356,0.004033974204770452,0.007068707092762902,7.401787531688903e-05,0.0019799781647267816,0.017912325826687146,0.01931866545770804,2010,0.572474414203541,22990,12584,8660,0.3133544161956224,0.21564281979132946,40159,0.4832789661097139,1
Clay,56626,1271,770,644,26,263,1802,2583,0.922217517344712,0.020699651477150586,0.01254030813328556,0.010488257711475196,0.00042343897592912283,0.004283248102667666,0.029347578254779974,0.04206703364711247,2010,0.42452476926804555,19273,5734,12305,0.12630234146126568,0.27104121236150575,45399,0.5145047247736735,1
Clearwater,7564,29,805,40,11,12,303,150,0.8630762209036971,0.003308991328160657,0.09185303514376997,0.004564125969876769,0.0012551346417161114,0.0013692377909630307,0.03457325422181652,0.01711547238703788,2010,0.5490136106438294,3590,1411,1916,0.2157822296987307,0.2930111637865117,6539,0.5002293928735281,1
Cook,4527,15,429,48,20,68,108,98,0.8680728667305848,0.0028763183125599234,0.08226270373921381,0.009204218600191754,0.0038350910834132313,0.013039309683604986,0.020709491850431447,0.01879194630872483,2010,0.6643421664342166,2858,1129,1556,0.2624360762436076,0.36169223616922364,4302,0.504416550441655,1
Cottonwood,10474,72,54,333,4,428,192,786,0.9062905598338671,0.006229990481958986,0.004672492861469239,0.028813705979060314,0.00034611058233105475,0.037033832309422865,0.01661330795189063,0.06801072942805228,2010,0.5217927170868347,4657,2181,2140,0.24436974789915966,0.23977591036414567,8925,0.5136134453781512,1
Crow Wing,60995,389,747,288,0,46,856,860,0.9632665308507448,0.006143301590309692,0.01179703415928365,0.00454825413369972,0.0,0.0007264572574659276,0.013518422008496392,0.013581592204797776,2010,0.5736984028209915,27658,14964,10541,0.310392034847542,0.21864758348890273,48210,0.5051649035469821,1
Dakota,344555,22082,1168,19126,52,11411,13008,27048,0.8375141589005402,0.05367499428782553,0.0028390722456380865,0.046489808022323664,0.00012639705203183258,0.02773686078337004,0.031618708708270736,0.06574591275686555,2010,0.5536020714331831,162919,92488,65513,0.3142761027425422,0.22261450478950964,294289,0.5164277292049652,1
Dodge,19633,67,54,181,0,158,268,988,0.9642453710525024,0.0032906045872010217,0.0026521290702814205,0.00888954373557291,0.0,0.00775993320563823,0.013162418348804087,0.04852413928588969,2010,0.5575486843023661,7988,4261,3123,0.29741048370210094,0.2179800376910728,14327,0.5019892510644238,1
Douglas,35891,212,138,79,0,139,403,532,0.9736585101188217,0.0057511800770441105,0.0037436926916607893,0.0021431284249362487,0.0,0.0037708208995713742,0.010932667787965929,0.014432206608431447,2010,0.5570011730830756,15669,6381,7467,0.2268316092566919,0.265436706835875,28131,0.5024705840531798,1
Faribault,13762,28,11,47,0,78,193,877,0.974714923153198,0.001983143282102132,0.0007790920036829804,0.003328847652100007,0.0,0.005524470571570224,0.013669523337346836,0.06211488065727035,2010,0.5831638517994517,6595,2975,3043,0.2630648156335662,0.26907772570519056,11309,0.5096825537182775,1
Fillmore,20497,87,16,91,2,33,151,266,0.981798151075346,0.0041672654116970825,0.0007663936389327967,0.004358863821430282,9.579920486659959e-05,0.0015806868802988937,0.00723283996742827,0.01274129424725775,2010,0.5353484254458075,8466,3461,4247,0.2188567092449728,0.26855950423675223,15814,0.5095485013279373,1
Freeborn,29129,406,88,439,7,325,357,2880,0.9472537478455986,0.013202822672433416,0.00286169555461611,0.014275958505414459,0.00022763487366264515,0.010568761991479951,0.0116093785567949,0.09365549087834542,2010,0.5569973718791065,13564,5187,7467,0.2130009855453351,0.3066277923784494,24352,0.5085824572930355,1
Goodhue,44289,562,526,245,0,58,770,1446,0.9534768568353068,0.01209903121636168,0.011324004305705059,0.005274488697524221,0.0,0.0012486544671689989,0.016576964477933262,0.031130247578040907,2010,0.5549950403854329,19583,12253,6982,0.34725804166076235,0.19787445089981578,35285,0.5091965424401304,1
Grant,5792,2,26,7,0,12,104,113,0.9745919569241124,0.00033653037186606087,0.004374894834258792,0.001177856301531213,0.0,0.0020191822311963654,0.01749957933703517,0.01901396601043244,2010,0.6509013785790032,3069,967,1836,0.2050901378579003,0.3893955461293743,4715,0.5039236479321315,1
Hennepin,891912,150522,7999,83228,487,32774,42343,82312,0.7375653806237673,0.1244739573211827,0.006614761859476624,0.06882527816483566,0.00040272396869172597,0.027102413449492047,0.03501548461255391,0.06806779324631078,2010,0.5270116474707806,470477,197112,236515,0.2207978707912618,0.26493571375763675,892726,0.5138474739169689,1
Houston,18267,87,39,76,5,34,283,172,0.9721143100420414,0.004629876004470225,0.002075461657176308,0.004044489383215368,0.0002660848278431164,0.0018093768293331914,0.015060401255920388,0.009153318077803205,2010,0.5422804146208402,7952,3625,3494,0.24720403709765412,0.23827059465357336,14664,0.5097517730496454,1
Hubbard,19464,136,442,125,4,60,409,384,0.9430232558139536,0.0065891472868217045,0.021414728682170543,0.006056201550387597,0.0001937984496124031,0.0029069767441860465,0.019815891472868212,0.018604651162790697,2010,0.6149511645379414,9822,5324,3747,0.3333333333333333,0.23459804658151764,15972,0.4996243425995492,1
Isanti,36830,228,176,336,9,144,738,683,0.9575934063076884,0.005928082993161905,0.004576064064896909,0.008736122305712279,0.00023400327604586465,0.0037440524167338335,0.0191882686357609,0.017758248615480615,2010,0.5297973141452641,14873,8340,5420,0.29708260606276493,0.19306807252520214,28073,0.4985217112528052,1
Itasca,42163,224,1594,191,5,98,1081,568,0.9296013757826967,0.0049387071170297215,0.03514419260957757,0.004211129729253021,0.00011023899814798484,0.0021606843637005033,0.02383367139959432,0.012523150189611077,2010,0.5625833167881555,19835,9112,9485,0.25844513146325554,0.26902459086138925,35257,0.49975891312363496,1
Jackson,9713,23,9,223,3,93,99,333,0.9557217357079604,0.0022631112860375872,0.0008855652858407951,0.021942339860277483,0.00029518842861359833,0.009150841287021549,0.009741218144248746,0.03276591557610942,2010,0.5485290419914508,4363,2039,1959,0.25634900678903694,0.2462911742519487,7954,0.4973598189590143,1
Kanabec,15385,54,155,76,1,30,217,246,0.9665158939565272,0.003392385978137957,0.0097374041965071,0.004774469154416384,6.282196255811031e-05,0.0018846588767433095,0.013632365875109938,0.015454202789295138,2010,0.5341489103135381,6593,3500,2554,0.28356153285262903,0.20691890140160416,12343,0.4968808231386211,1
Kandiyohi,37765,1566,234,308,0,2047,590,4993,0.8883792048929664,0.036838390966831336,0.005504587155963303,0.007245354034344859,0.0,0.048153375676311456,0.013879087273582686,0.11745471653728536,2010,0.5432663864237895,17447,8186,8062,0.25489646582593806,0.25103534174061964,32115,0.5068348123929628,1
Kittson,4347,28,9,17,0,2,33,86,0.9799368800721372,0.006311992786293959,0.0020288548241659157,0.003832281334535618,0.0,0.0004508566275924256,0.007439134355275024,0.0193868349864743,2010,0.5615901455767077,2006,416,1491,0.11646136618141098,0.4174132138857783,3572,0.5005599104143337,1
Koochiching,12106,119,471,57,0,3,174,25,0.9362722351121424,0.00920340293890178,0.03642691415313225,0.004408352668213457,0.0,0.0002320185614849188,0.01345707656612529,0.0019334880123743235,2010,0.48595025631289157,5119,2167,2664,0.20571482817543194,0.2528953863679514,10534,0.5052211885323714,1
Lac qui Parle,6723,70,14,28,0,26,55,145,0.9720936957779064,0.010121457489878544,0.0020242914979757085,0.004048582995951417,0.0,0.003759398496240601,0.007952573742047426,0.020965876229034126,2010,0.640083945435467,3660,1174,2236,0.20531654424623993,0.391045820216859,5718,0.5031479538300105,1
Lake,10390,96,56,0,7,45,127,149,0.9691260143643315,0.008954388583154557,0.0052233933401734925,0.0,0.0006529241675216863,0.004197369648353697,0.01184590989646488,0.013897957280104468,2010,0.6392621270781144,5614,2335,3067,0.2658847642905944,0.3492370758369392,8782,0.4956729674333865,1
Lake of the Woods,3667,4,12,45,0,0,173,48,0.9400153806716228,0.0010253781081773904,0.0030761343245321714,0.011535503716995642,0.0,0.0,0.04434760317867213,0.012304537298128686,2010,0.591501240694789,1907,698,1038,0.21650124069478907,0.3219602977667494,3224,0.4869727047146402,1
Le Sueur,26471,213,95,125,2,451,293,1553,0.9573598553345388,0.007703435804701626,0.0034358047016274863,0.004520795660036167,7.233273056057866e-05,0.01631103074141049,0.010596745027124774,0.05616636528028933,2010,0.5643392123701377,11679,7231,4146,0.34940806958202464,0.20033824595312877,20695,0.4948055085769509,1
Lincoln,5652,13,39,8,0,40,41,93,0.9756602796478508,0.00224408769204212,0.006732263076126359,0.001380977041256689,0.0,0.006904885206283446,0.007077507336440531,0.01605385810460901,2010,0.5424693520140105,2478,881,1390,0.19286339754816112,0.3042907180385289,4568,0.5032837127845884,1
Lyon,22857,763,139,902,0,770,239,1586,0.8904168289832489,0.029723412543825482,0.005414881184261785,0.035138293728087265,0.0,0.029996104402025714,0.009310479158550836,0.06178418387222439,2010,0.45977833392920986,9002,3733,4623,0.19066346595842484,0.2361203330098575,19579,0.5083507840032688,1
McLeod,34309,59,75,221,0,698,564,1982,0.954990814451929,0.0016422646551244224,0.0020876245615988427,0.0061515337081779215,0.0,0.01942882591994656,0.015698936703223292,0.055168958414518736,2010,0.49415418341249545,13525,6125,5812,0.2237851662404092,0.2123492875411034,27370,0.5067226890756302,1
Mahnomen,2615,19,2273,24,22,37,490,188,0.4771897810218978,0.0034671532846715326,0.41478102189781024,0.004379562043795621,0.0040145985401459855,0.0067518248175182476,0.08941605839416059,0.034306569343065696,2010,0.5067814293166406,1943,405,1380,0.1056338028169014,0.3599374021909233,3834,0.5036515388628064,1
Marshall,9168,21,32,20,2,27,136,385,0.974697001913672,0.0022326174782054007,0.0034020837763129915,0.00212630236019562,0.00021263023601956202,0.002870508186264087,0.014458856049330213,0.04093132043376568,2010,0.5981981981981982,4316,1062,3014,0.1471933471933472,0.4177408177408177,7215,0.4923076923076923,1
Martin,19708,54,19,152,2,33,225,802,0.9759817758629228,0.0026741940276333387,0.0009409201208339524,0.007527360966671619,9.90442232456792e-05,0.0016342296835537068,0.01114247511513891,0.03971673352151736,2010,0.5448092828045921,8827,4618,3184,0.28502653993334154,0.19651894827799038,16202,0.5134551289964202,1
Meeker,22500,125,73,88,23,71,214,805,0.9742790335151988,0.005412661297306659,0.003160994197627089,0.003810513553303889,0.0009959296787044251,0.003074391616870182,0.009266476140989,0.03485753875465489,2010,0.5693367786391043,9915,4103,4654,0.23560149296583405,0.26724088429514786,17415,0.4936548952052828,1
Mille Lacs,23495,136,1322,110,0,75,650,528,0.91108267411199,0.00527377074608345,0.051264153870017065,0.004265549868155732,0.0,0.0029083294555607253,0.02520552194819296,0.02047463936714751,2010,0.528369704749679,10290,5355,4054,0.27496790757381256,0.2081643132220796,19475,0.5040821566110398,1
Morrison,31929,196,49,167,0,130,379,491,0.9719634703196348,0.005966514459665145,0.001491628614916286,0.005083713850837139,0.0,0.003957382039573821,0.011537290715372907,0.014946727549467275,2010,0.5146308403763356,12909,7361,4556,0.2934539945782172,0.1816297241269335,25084,0.4992026789985648,1
Mower,35964,1327,43,833,45,299,737,4293,0.9163269465960048,0.033810640032613117,0.0010955972278842234,0.02122401141459437,0.0011465552384834895,0.007618222584590297,0.0187780269058296,0.10938136975132493,2010,0.4898216660415317,14365,4922,8419,0.1678316909332697,0.2870733453813892,29327,0.507484570532274,1
Murray,8191,35,25,66,33,39,74,285,0.967860096892355,0.00413564929693962,0.0029540352120997282,0.007798652959943282,0.003899326479971641,0.004608294930875576,0.008743944227815196,0.033676001417936904,2010,0.564625850340136,3818,1688,1779,0.24963028689736763,0.26308784383318545,6762,0.5063590653652765,1
Nicollet,31025,951,74,508,0,252,416,1384,0.9337566965629328,0.028622163366038643,0.0022271714922049,0.015289231324866068,0.0,0.007584421838319389,0.012520315415638356,0.041654126286642994,2010,0.5272283079832926,13380,5020,7540,0.19780912601465836,0.29710773110568206,25378,0.5039798250453148,1
Nobles,17329,907,98,1303,10,1731,351,5661,0.7975056376271342,0.04174145151640665,0.004510101707395646,0.05996594412996456,0.00046021445993833126,0.07966312301532515,0.016153527543835432,0.2605274057710893,2010,0.37985810259308095,6050,2962,2579,0.18597350411251334,0.16192628869215797,15927,0.488290324606015,1
