COUNTYNAME,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race),Year,Turnout,Votes,Votes_R,Votes_DFL,Turnout_R,Turnout_DFL,TotalPop,FemaleProp,Midterms
Aitkin,14937,62,309,52,2,8,352,186,0.9500699656532248,0.0039435186363058145,0.01965398804223381,0.003307467243353263,0.00012721027859051014,0.0005088411143620406,0.02238900903192978,0.01183055590891744,2012,0.6949868073878628,9219,4533,4412,0.3417263475310969,0.3326045985676592,13265,0.4941575574820957,0
Anoka,291633,17750,2246,14142,107,5092,10279,13847,0.8546047021383213,0.05201480443898737,0.006581704268730458,0.041441879683163915,0.0003135540323927689,0.014921655448074571,0.030121699990329643,0.04057740828544552,2012,0.7419297271573604,187085,93430,88614,0.3705187182741117,0.3514197335025381,252160,0.5038824555837563,0
Becker,29299,154,2517,165,10,118,1112,587,0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445686,0.033318352059925095,0.01758801498127341,2012,0.6631104311767785,16471,9204,6829,0.37054631828978624,0.27493055275977296,24839,0.5016707596924191,0
Beltrami,33600,416,9621,391,48,111,1457,945,0.7361318026465691,0.009114012794671807,0.2107834545613881,0.008566295679607394,0.0010516168609236698,0.0024318639908859872,0.0319209534659539,0.020703706949434755,2012,0.6573155197440531,22189,9637,11818,0.2854815297567912,0.3500903516307729,33757,0.5062061202121042,0
Benton,37032,1046,167,437,0,32,743,791,0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.01883062574448133,0.020047139924474745,2012,0.6786794008519994,19755,10849,8173,0.3727154046997389,0.28078191562457055,29108,0.5021643534423527,0
Big Stone,5038,9,0,0,0,4,47,64,0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328,2012,0.6939379004435683,2816,1385,1345,0.3413011335633317,0.33144406111384916,4058,0.5137999014292755,0
Blue Earth,60046,2166,263,1347,8,297,1397,2016,0.9163970453574264,0.033056589951773394,0.004013796471521885,0.02055735303095049,0.0001220926683352665,0.004532690311946768,0.02132043220804591,0.03076735242048715,2012,0.6597557240217474,34463,14916,18164,0.28555019526763153,0.34772953518646144,52236,0.4987556474462057,0
Brown,24587,57,56,166,15,238,208,987,0.9707821692265172,0.002250562640660165,0.002211079085560864,0.006554270146483989,0.0005922533264895171,0.00939708611363367,0.008212579460654637,0.038970268883010216,2012,0.7045294767500251,14030,7938,5630,0.3986140403736065,0.28271567741287534,19914,0.5111479361253389,0
Carlton,31710,525,1838,216,7,63,1123,590,0.8936925765176709,0.014796234710557462,0.051800913139056416,0.0060875937094865004,0.00019728312947409955,0.0017755481652668961,0.031649850628487686,0.016628149484245534,2012,0.6832080754494547,18545,6586,11389,0.2426318891836133,0.4195770704391394,27144,0.4769746536987916,0
Carver,90204,1388,135,2672,75,534,2135,3927,0.9285692226923196,0.014288214282037819,0.0013897038386708257,0.027505841903173667,0.0007720576881504586,0.005497050739631265,0.021977908856016387,0.04042494055155802,2012,0.7938115036042234,53079,31155,20745,0.46593186372745493,0.3102473603924266,66866,0.5089283043699339,0
Cass,24315,100,3174,166,13,36,829,521,0.8491949848077394,0.0034924737191352638,0.11085111584535326,0.005797506373764538,0.0004540215834875842,0.0012572905388886946,0.028952607131631336,0.018195788076694724,2012,0.7250324254215305,16211,8957,6858,0.40059931123932196,0.3067221253186636,22359,0.4914352162440181,0
Chippewa,11265,65,177,81,130,213,195,730,0.9289955467590302,0.005360382648853703,0.01459673428995547,0.0066798614547253846,0.010720765297707406,0.01756556160316675,0.016081147946561108,0.060201220517895435,2012,0.6684497699796726,6248,2967,3083,0.3174280517813202,0.32983845083984165,9347,0.5138547127420563,0
Chisago,51690,672,218,382,4,107,968,1044,0.9564959937824984,0.012435003053237356,0.004033974204770452,0.007068707092762902,7.401787531688903e-05,0.0019799781647267816,0.017912325826687146,0.01931866545770804,2012,0.7308804269935012,29578,16227,12524,0.4009735847191678,0.3094714472806346,40469,0.4832835009513455,0
Clay,56626,1271,770,644,26,263,1802,2583,0.922217517344712,0.020699651477150586,0.01254030813328556,0.010488257711475196,0.00042343897592912283,0.004283248102667666,0.029347578254779974,0.04206703364711247,2012,0.6269868693849343,29032,12920,15208,0.27902557014512785,0.3284381478921907,46304,0.5137137180373186,0
Clearwater,7564,29,805,40,11,12,303,150,0.8630762209036971,0.003308991328160657,0.09185303514376997,0.004564125969876769,0.0012551346417161114,0.0013692377909630307,0.03457325422181652,0.01711547238703788,2012,0.6440858578170193,4231,2359,1753,0.35911097579540263,0.26685949155122546,6569,0.4987060435378292,0
Cook,4527,15,429,48,20,68,108,98,0.8680728667305848,0.0028763183125599234,0.08226270373921381,0.009204218600191754,0.0038350910834132313,0.013039309683604986,0.020709491850431447,0.01879194630872483,2012,0.7736635038185605,3343,1221,1993,0.2825734783614904,0.46123582504049987,4321,0.5047442721592224,0
Cottonwood,10474,72,54,333,4,428,192,786,0.9062905598338671,0.006229990481958986,0.004672492861469239,0.028813705979060314,0.00034611058233105475,0.037033832309422865,0.01661330795189063,0.06801072942805228,2012,0.6687012546625974,5916,3316,2433,0.374816321917034,0.275008477449983,8847,0.5126031423081271,0
Crow Wing,60995,389,747,288,0,46,856,860,0.9632665308507448,0.006143301590309692,0.01179703415928365,0.00454825413369972,0.0,0.0007264572574659276,0.013518422008496392,0.013581592204797776,2012,0.7216323002839857,35067,19415,14760,0.3995349220068321,0.3037412026176071,48594,0.5053916121331852,0
Dakota,344555,22082,1168,19126,52,11411,13008,27048,0.8375141589005402,0.05367499428782553,0.0028390722456380865,0.046489808022323664,0.00012639705203183258,0.02773686078337004,0.031618708708270736,0.06574591275686555,2012,0.768249028786406,231571,109516,116255,0.3633251168607988,0.3856821054517346,301427,0.5152358614191828,0
Dodge,19633,67,54,181,0,158,268,988,0.9642453710525024,0.0032906045872010217,0.0026521290702814205,0.00888954373557291,0.0,0.00775993320563823,0.013162418348804087,0.04852413928588969,2012,0.7149044410834594,10399,5522,4487,0.37962326412759523,0.30846968238691047,14546,0.502131170081122,0
Douglas,35891,212,138,79,0,139,403,532,0.9736585101188217,0.0057511800770441105,0.0037436926916607893,0.0021431284249362487,0.0,0.0037708208995713742,0.010932667787965929,0.014432206608431447,2012,0.7398556310883734,21114,11884,8653,0.41642721984722125,0.30320975541383416,28538,0.5024879108557012,0
Faribault,13762,28,11,47,0,78,193,877,0.974714923153198,0.001983143282102132,0.0007790920036829804,0.003328847652100007,0.0,0.005524470571570224,0.013669523337346836,0.06211488065727035,2012,0.7002793547805714,7771,4104,3407,0.36982968369829683,0.3070199152924214,11097,0.5099576462106876,0
Fillmore,20497,87,16,91,2,33,151,266,0.981798151075346,0.0041672654116970825,0.0007663936389327967,0.004358863821430282,9.579920486659959e-05,0.0015806868802988937,0.00723283996742827,0.01274129424725775,2012,0.6906429427724147,10946,4913,5713,0.30998801186194713,0.36046438261089025,15849,0.5055208530506656,0
Freeborn,29129,406,88,439,7,325,357,2880,0.9472537478455986,0.013202822672433416,0.00286169555461611,0.014275958505414459,0.00022763487366264515,0.010568761991479951,0.0116093785567949,0.09365549087834542,2012,0.693999669858039,16817,6969,9326,0.2875949158137999,0.38486299108616706,24232,0.5061076262793001,0
Goodhue,44289,562,526,245,0,58,770,1446,0.9534768568353068,0.01209903121636168,0.011324004305705059,0.005274488697524221,0.0,0.0012486544671689989,0.016576964477933262,0.031130247578040907,2012,0.7321433614821928,25923,12986,12212,0.3667636343095998,0.3449035501454515,35407,0.5083458073262349,0
Grant,5792,2,26,7,0,12,104,113,0.9745919569241124,0.00033653037186606087,0.004374894834258792,0.001177856301531213,0.0,0.0020191822311963654,0.01749957933703517,0.01901396601043244,2012,0.751713796058269,3509,1748,1647,0.3744644387317909,0.352827763496144,4668,0.5055698371893744,0
Hennepin,891912,150522,7999,83228,487,32774,42343,82312,0.7375653806237673,0.1244739573211827,0.006614761859476624,0.06882527816483566,0.00040272396869172597,0.027102413449492047,0.03501548461255391,0.06806779324631078,2012,0.7427006882418017,682764,240073,423982,0.26114789638626823,0.4612014154263194,919299,0.5126253808608516,0
Houston,18267,87,39,76,5,34,283,172,0.9721143100420414,0.004629876004470225,0.002075461657176308,0.004044489383215368,0.0002660848278431164,0.0018093768293331914,0.015060401255920388,0.009153318077803205,2012,0.7189144849271994,10517,4951,5281,0.338437350468248,0.36099528334130837,14629,0.5074167748991729,0
Hubbard,19464,136,442,125,4,60,409,384,0.9430232558139536,0.0065891472868217045,0.021414728682170543,0.006056201550387597,0.0001937984496124031,0.0029069767441860465,0.019815891472868212,0.018604651162790697,2012,0.72355799177775,11616,6622,4676,0.41248287031269465,0.2912669739628753,16054,0.4985050454715336,0
Isanti,36830,228,176,336,9,144,738,683,0.9575934063076884,0.005928082993161905,0.004576064064896909,0.008736122305712279,0.00023400327604586465,0.0037440524167338335,0.0191882686357609,0.017758248615480615,2012,0.7138941598144635,20316,11675,8024,0.4102537072176541,0.2819593787335723,28458,0.4991917914119053,0
Itasca,42163,224,1594,191,5,98,1081,568,0.9296013757826967,0.0049387071170297215,0.03514419260957757,0.004211129729253021,0.00011023899814798484,0.0021606843637005033,0.02383367139959432,0.012523150189611077,2012,0.6779947586440105,24060,10501,12852,0.29591117874151096,0.3621607912756784,35487,0.5010849043311635,0
Jackson,9713,23,9,223,3,93,99,333,0.9557217357079604,0.0022631112860375872,0.0008855652858407951,0.021942339860277483,0.00029518842861359833,0.009150841287021549,0.009741218144248746,0.03276591557610942,2012,0.6880630630630631,5499,3044,2268,0.3808808808808809,0.28378378378378377,7992,0.4963713713713714,0
Kanabec,15385,54,155,76,1,30,217,246,0.9665158939565272,0.003392385978137957,0.0097374041965071,0.004774469154416384,6.282196255811031e-05,0.0018846588767433095,0.013632365875109938,0.015454202789295138,2012,0.6611757105943152,8188,4328,3593,0.3494832041343669,0.29013242894056845,12384,0.4959625322997416,0
Kandiyohi,37765,1566,234,308,0,2047,590,4993,0.8883792048929664,0.036838390966831336,0.005504587155963303,0.007245354034344859,0.0,0.048153375676311456,0.013879087273582686,0.11745471653728536,2012,0.6668936486319178,21546,11240,9805,0.3479014485576328,0.30348520490281045,32308,0.5057570880277331,0
Kittson,4347,28,9,17,0,2,33,86,0.9799368800721372,0.006311992786293959,0.0020288548241659157,0.003832281334535618,0.0,0.0004508566275924256,0.007439134355275024,0.0193868349864743,2012,0.6979789353828636,2452,1095,1241,0.3116994022203245,0.35325932251636777,3513,0.4941645317392542,0
Koochiching,12106,119,471,57,0,3,174,25,0.9362722351121424,0.00920340293890178,0.03642691415313225,0.004408352668213457,0.0,0.0002320185614849188,0.01345707656612529,0.0019334880123743235,2012,0.6225747873458854,6514,2841,3451,0.2715282423779031,0.32982892095957184,10463,0.5021504348657173,0
Lac qui Parle,6723,70,14,28,0,26,55,145,0.9720936957779064,0.010121457489878544,0.0020242914979757085,0.004048582995951417,0.0,0.003759398496240601,0.007952573742047426,0.020965876229034126,2012,0.7157913540550197,4007,1938,1974,0.3461950696677385,0.35262593783494106,5598,0.5025008931761343,0
Lake,10390,96,56,0,7,45,127,149,0.9691260143643315,0.008954388583154557,0.0052233933401734925,0.0,0.0006529241675216863,0.004197369648353697,0.01184590989646488,0.013897957280104468,2012,0.7830705962988348,6855,2610,4043,0.2981494174091844,0.4618460132510852,8754,0.4946310258167695,0
Lake of the Woods,3667,4,12,45,0,0,173,48,0.9400153806716228,0.0010253781081773904,0.0030761343245321714,0.011535503716995642,0.0,0.0,0.04434760317867213,0.012304537298128686,2012,0.701310861423221,2247,1306,859,0.4076154806491885,0.2681023720349563,3204,0.4887640449438202,0
Le Sueur,26471,213,95,125,2,451,293,1553,0.9573598553345388,0.007703435804701626,0.0034358047016274863,0.004520795660036167,7.233273056057866e-05,0.01631103074141049,0.010596745027124774,0.05616636528028933,2012,0.7158127889060092,14866,7715,6753,0.37148497688751925,0.3251637134052388,20768,0.4975442989214176,0
Lincoln,5652,13,39,8,0,40,41,93,0.9756602796478508,0.00224408769204212,0.006732263076126359,0.001380977041256689,0.0,0.006904885206283446,0.007077507336440531,0.01605385810460901,2012,0.7029924073246985,3148,1595,1429,0.35618579723090665,0.31911567664135776,4478,0.5022331397945511,0
Lyon,22857,763,139,902,0,770,239,1586,0.8904168289832489,0.029723412543825482,0.005414881184261785,0.035138293728087265,0.0,0.029996104402025714,0.009310479158550836,0.06178418387222439,2012,0.6426177092465577,12461,6594,5465,0.3400546645350936,0.28183177762879685,19391,0.5037904182352638,0
McLeod,34309,59,75,221,0,698,564,1982,0.954990814451929,0.0016422646551244224,0.0020876245615988427,0.0061515337081779215,0.0,0.01942882591994656,0.015698936703223292,0.055168958414518736,2012,0.6870004052013113,18650,11069,6968,0.4077430286956201,0.2566766125170369,27147,0.5078277526061812,0
Mahnomen,2615,19,2273,24,22,37,490,188,0.4771897810218978,0.0034671532846715326,0.41478102189781024,0.004379562043795621,0.0040145985401459855,0.0067518248175182476,0.08941605839416059,0.034306569343065696,2012,0.5726184279021344,2200,871,1276,0.2267048412285268,0.3321186881832379,3842,0.5088495575221239,0
Marshall,9168,21,32,20,2,27,136,385,0.974697001913672,0.0022326174782054007,0.0034020837763129915,0.00212630236019562,0.00021263023601956202,0.002870508186264087,0.014458856049330213,0.04093132043376568,2012,0.6805957798924286,4935,2569,1998,0.3542959591780444,0.2755482002482416,7251,0.4905530271686664,0
Martin,19708,54,19,152,2,33,225,802,0.9759817758629228,0.0026741940276333387,0.0009409201208339524,0.007527360966671619,9.90442232456792e-05,0.0016342296835537068,0.01114247511513891,0.03971673352151736,2012,0.6903689806128831,11039,6657,4054,0.41632270168855534,0.2535334584115072,15990,0.5098186366479049,0
Meeker,22500,125,73,88,23,71,214,805,0.9742790335151988,0.005412661297306659,0.003160994197627089,0.003810513553303889,0.0009959296787044251,0.003074391616870182,0.009266476140989,0.03485753875465489,2012,0.710796766743649,12311,6913,4969,0.39913394919168593,0.28689376443418013,17320,0.4918591224018476,0
Mille Lacs,23495,136,1322,110,0,75,650,528,0.91108267411199,0.00527377074608345,0.051264153870017065,0.004265549868155732,0.0,0.0029083294555607253,0.02520552194819296,0.02047463936714751,2012,0.6844455985458322,13179,6951,5829,0.36099714359906515,0.30272656452869384,19255,0.5043884705271358,0
Morrison,31929,196,49,167,0,130,379,491,0.9719634703196348,0.005966514459665145,0.001491628614916286,0.005083713850837139,0.0,0.003957382039573821,0.011537290715372907,0.014946727549467275,2012,0.6685328568592416,16837,10159,6153,0.40337502481635895,0.24431209053007744,25185,0.5006948580504268,0
Mower,35964,1327,43,833,45,299,737,4293,0.9163269465960048,0.033810640032613117,0.0010955972278842234,0.02122401141459437,0.0011465552384834895,0.007618222584590297,0.0187780269058296,0.10938136975132493,2012,0.6317017893989108,18675,6938,11129,0.23468524845245747,0.3764502925954741,29563,0.5050569969218279,0
Murray,8191,35,25,66,33,39,74,285,0.967860096892355,0.00413564929693962,0.0029540352120997282,0.007798652959943282,0.003899326479971641,0.004608294930875576,0.008743944227815196,0.033676001417936904,2012,0.7187639946260636,4815,2504,2160,0.3737871324078221,0.32243618450515005,6699,0.5042543663233319,0
Nicollet,31025,951,74,508,0,252,416,1384,0.9337566965629328,0.028622163366038643,0.0022271714922049,0.015289231324866068,0.0,0.007584421838319389,0.012520315415638356,0.041654126286642994,2012,0.7196396536931596,18453,8214,9652,0.32033382731456206,0.37641369627954135,25642,0.5026908977458856,0
Nobles,17329,907,98,1303,10,1731,351,5661,0.7975056376271342,0.04174145151640665,0.004510101707395646,0.05996594412996456,0.00046021445993833126,0.07966312301532515,0.016153527543835432,0.2605274057710893,2012,0.5361596009975063,8600,4581,3793,0.2855985037406484,0.2364713216957606,16040,0.4832917705735661,0
Norman,6172,50,98,31,14,61,212,320,0.92979813196746,0.007532389273877674,0.014763482976800241,0.004670081349804157,0.0021090689966857487,0.009189514914130762,0.031937330521241335,0.04820729135281712,2012,0.6451804839349464,3253,1384,1730,0.274494248314161,0.3431178103927013,5042,0.5071400238000794,0
Olmsted,127969,7903,418,8948,14,1495,3357,6957,0.8525355753344348,0.05265016255396258,0.0027847359164312737,0.05961200234504078,9.32686670575068e-05,0.009959761232212332,0.022364493950860737,0.04634786547993392,2012,0.7139577510798156,78681,36832,39338,0.33421654386410654,0.35695619033791876,110204,0.5173133461580341,0
Otter Tail,55163,782,206,377,7,449,710,1791,0.9561306201684749,0.013554269074773806,0.003570561930183381,0.006534474988733664,0.00012132977432661975,0.007782438381807468,0.012306305681700005,0.03104308940271085,2012,0.7078219494841693,31835,18860,12165,0.4193347563144788,0.2704775880469584,44976,0.500511383849164,0
Pennington,13268,234,209,108,42,57,238,479,0.937270415371574,0.016530093246679853,0.01476405764340209,0.007629273806159931,0.0029669398135066397,0.004026561175473298,0.016812658943204294,0.03383724215880192,2012,0.6063937910006467,6563,3305,3024,0.30536819735747944,0.2794049708953155,10823,0.5102097385198189,0
Pine,26585,615,705,149,13,177,823,803,0.9146110709739568,0.021158014242955932,0.024254309010217773,0.005126088003577941,0.0004472425774933773,0.006089379708948292,0.02831389548284997,0.027625829979014003,2012,0.612511955482132,14089,6845,6750,0.2975828188853143,0.29345274323971826,23002,0.4616555082166768,0
Pipestone,8609,125,124,91,0,121,215,491,0.9271943995691976,0.013462574044157244,0.013354873451803985,0.009800753904146474,0.0,0.013031771674744213,0.023155627355950455,0.05288099084544965,2012,0.660832745236415,4682,2826,1725,0.3988708539167255,0.24347212420606917,7085,0.5167254763585039,0
Polk,29368,446,373,240,16,318,789,1880,0.9308399366085578,0.014136291600633916,0.011822503961965134,0.007606973058637084,0.0005071315372424723,0.010079239302694136,0.02500792393026941,0.0595879556259905,2012,0.6128778141714002,14782,7615,6773,0.3157261909697749,0.280815954226958,24119,0.4994402753016294,0
Pope,10679,49,47,38,0,57,105,130,0.9730296127562642,0.004464692482915718,0.0042824601366742605,0.0034624145785876995,0.0,0.0051936218678815494,0.009567198177676536,0.01184510250569476,2012,0.7342289719626168,6285,3142,2981,0.36705607476635516,0.34824766355140185,8560,0.5022196261682244,0
Ramsey,363250,59572,3401,72239,174,10430,22462,38985,0.6834070829758734,0.11207688023961107,0.0063985340377176745,0.13590817416956394,0.0003273581071928478,0.01962267274724944,0.04225929772279165,0.07334514832708719,2012,0.6999462560461948,280010,86800,184938,0.2169755902460973,0.4622929920383957,400045,0.5225287155195041,0
Red Lake,3846,23,66,12,0,27,68,129,0.9515091538842158,0.005690252350321623,0.01632855022266205,0.002968827313211281,0.0,0.0066798614547253846,0.016823354774863932,0.031914893617021274,2012,0.6564035375040943,2004,978,928,0.3203406485424173,0.30396331477235505,3053,0.495250573206682,0
Redwood,13931,102,768,490,0,140,147,451,0.8942739761201695,0.0065476954679676465,0.04930029528822698,0.031454615483373985,0.0,0.008987032995249711,0.009436384645012195,0.028951084863268712,2012,0.6570926143024619,7847,4570,3008,0.382682967677106,0.2518841065148216,11942,0.5083738067325406,0
Renville,14000,45,204,75,0,504,167,1146,0.9336445481827276,0.003001000333444481,0.013604534844948316,0.005001667222407469,0.0,0.0336112037345782,0.011137045681893965,0.07642547515838613,2012,0.6577966101694915,7762,4149,3394,0.3516101694915254,0.2876271186440678,11800,0.4932203389830509,0
Rice,57784,2718,271,1432,49,1708,1154,5059,0.8874009460040543,0.04174089317525646,0.004161803550586645,0.021991522820812088,0.0007525032250138213,0.02623011241476749,0.017722218809509183,0.07769211868050863,2012,0.6506814942690247,32415,14384,17054,0.28873677660236463,0.3423329385551117,49817,0.4890097757793525,0
Rock,9208,75,64,88,0,45,74,246,0.9637848021770986,0.007850115135021981,0.006698764915218757,0.00921080175842579,0.0,0.004710069081013188,0.007745446933221688,0.025748377642872092,2012,0.688904593639576,4874,2810,1946,0.3971731448763251,0.27505300353356893,7075,0.5142049469964665,0
Roseau,14569,117,220,443,2,25,233,166,0.93337177269524,0.007495675571785508,0.014094432699083862,0.02838106220770068,0.00012813120635530784,0.0016016400794413481,0.014927285540393362,0.01063489012749055,2012,0.6420159334949774,7414,4409,2772,0.38179771388985106,0.2400415656390717,11548,0.4870973328714929,0
St. Louis,185370,3053,3826,2111,77,612,5304,2943,0.925216992009104,0.015238104745124856,0.019096295039255716,0.01053640324826681,0.0003843216722484814,0.003054608615793125,0.026473274670207086,0.014689073784769881,2012,0.7196792371044647,116221,39131,73378,0.24231221747476625,0.4543810762276302,161490,0.5005820793857205,0
Scott,118278,4202,979,8235,173,3209,4414,6617,0.8479317513800272,0.030124023227471507,0.007018424259803571,0.05903649007097282,0.0012402322747150332,0.02300523335006093,0.031643845436948884,0.04743709226467848,2012,0.7546665268456376,71965,40323,29712,0.42285025167785234,0.31157718120805367,95360,0.5051698825503356,0
Sherburne,85480,1901,471,1032,11,445,1848,2233,0.937404044391806,0.020847041277361058,0.005165153309646006,0.011317278589288065,0.00012062990744396192,0.004880028073869369,0.0202658244505856,0.024487871211124272,2012,0.7261025696830258,46708,27848,17597,0.43291308470782097,0.2735554277364093,64327,0.4883641394748706,0
Sibley,14476,70,29,97,3,137,145,1237,0.9678411446145616,0.004680082904325734,0.0019388914889349469,0.0064852577388513745,0.00020057498161396003,0.009159590827037508,0.009694457444674736,0.08270375075215618,2012,0.6954216015555948,7868,4693,2916,0.41479582817747923,0.2577337811560898,11314,0.5013257910553297,0
Stearns,138458,6908,537,3064,22,2001,2671,4745,0.9010614274279096,0.04495610467197272,0.003494705878524805,0.01993999778733706,0.00014317230787252457,0.013022172184223713,0.017382419742159688,0.030879663675233145,2012,0.6745639000709384,78926,43015,33551,0.36764014597916295,0.2867533311111681,117003,0.4982094476210012,0
Steele,33101,1079,50,433,5,1363,510,2636,0.9058591718891108,0.02952847486385157,0.0013683259899838535,0.011849703073260174,0.00013683259899838538,0.037300566486959855,0.013956925097835308,0.07213814619194878,2012,0.7140522875816994,19228,9903,8706,0.3677584670231729,0.3233065953654189,26928,0.50616458704694,0
Stevens,9121,82,187,164,14,38,156,447,0.9343372259782832,0.008399918049580004,0.01915591067404221,0.01679983609916001,0.0014341323499282937,0.003892644949805368,0.015980331899200985,0.04578979717271051,2012,0.7360445538142728,5683,2766,2742,0.3582437508094806,0.3551353451625437,7721,0.5115917627250356,0
Swift,9073,172,21,17,0,139,61,407,0.9567647368976062,0.01813772013076031,0.002214489085732363,0.001792681640830961,0.0,0.014657808710323737,0.006432563534746388,0.042918907518717714,2012,0.7188247806434459,5407,2248,2751,0.29885668705131613,0.3657272002127094,7522,0.4994682265354959,0
Todd,23266,69,58,116,0,345,481,1299,0.9560715019519213,0.0028354222313540173,0.002383398397370043,0.0047667967947400865,0.0,0.014177111156770084,0.019765769467844668,0.05337990548592562,2012,0.6347686547205135,11867,6719,4819,0.35940090933404656,0.257769457074084,18695,0.4899705803690826,0
Traverse,3149,15,137,0,0,16,80,77,0.9269944068295556,0.004415660877244628,0.04032970267883427,0.0,0.0,0.004710038269060936,0.023550191345304682,0.022667059169855758,2012,0.6947955390334573,1869,861,943,0.32007434944237917,0.35055762081784386,2690,0.5063197026022305,0
Wabasha,20755,46,51,88,0,62,325,613,0.9731795376752472,0.0021568903268157735,0.0023913349275566185,0.004126224973038871,0.0,0.0029071130491864767,0.01523889904815492,0.028742908050827586,2012,0.7099964041711615,11847,6049,5415,0.3625194774062088,0.3245235526788925,16686,0.5020376363418435,0
Wadena,13260,111,119,35,0,28,202,236,0.9640130861504908,0.008069792802617229,0.008651399491094147,0.002544529262086514,0.0,0.0020356234096692107,0.014685568884042169,0.017157397310069062,2012,0.6607848809179443,6853,4143,2492,0.3994793173271623,0.24028541124288882,10371,0.5054478835213576,0
Waseca,17752,509,133,93,0,225,322,1079,0.932646842492382,0.026741620258484814,0.006987496059682673,0.004885993485342019,0.0,0.011820951980666176,0.01691709572344226,0.056688031942839126,2012,0.6690941264547744,9831,5116,4370,0.3481930170829647,0.2974205403933846,14693,0.5394405499217314,0
Washington,216007,9796,944,12605,111,1910,7372,9493,0.8683873042674225,0.03938169611449476,0.003795051156807172,0.050674385414782204,0.0004462401254296568,0.007678546302438241,0.0296367766186255,0.03816358117751111,2012,0.7882816128818207,142556,69137,70203,0.38230187343788014,0.3881964566145407,180844,0.5096270819048462,0
Watonwan,9970,70,50,131,0,691,84,2489,0.9066933430338304,0.006365951255001819,0.004547108039287013,0.011913423062931977,0.0,0.06284103310294653,0.0076391415060021815,0.22635503819570754,2012,0.618979323532927,5179,2517,2494,0.3008246683399068,0.29807577387355083,8367,0.5016134815346002,0
Wilkin,6174,47,99,0,0,7,152,82,0.9529248340793331,0.0072542058959716,0.01528013582342954,0.0,0.0,0.0010804136440808766,0.02346041055718475,0.012656274116375984,2012,0.648,3240,1884,1258,0.3768,0.2516,5000,0.4978,0
Winona,48034,755,170,1342,12,232,600,1400,0.9391729396812982,0.01476195131488904,0.003323883077524685,0.026239124059047804,0.00023462704076644835,0.004536122788151334,0.011731352038322415,0.027373154756085642,2012,0.6554314283663852,27399,11480,14980,0.27462143865272826,0.3583474870224625,41803,0.5121163552855058,0
Wright,123077,1480,419,1412,9,1195,2330,3502,0.9473145425716968,0.011391450254768246,0.003225011930235064,0.010868059297116732,6.927233263034743e-05,0.009197826388140576,0.01793383722541217,0.02695463431905297,2012,0.7573816434791312,68103,40466,25741,0.45002724674429206,0.28626875298880106,89919,0.5009842191305508,0
Yellow Medicine,9288,24,331,61,0,134,200,416,0.9252839210998208,0.002390914524805738,0.032974696154612466,0.006076907750547918,0.0,0.013349272763498704,0.019924287706714484,0.04144251842996613,2012,0.7033647028490396,5456,2806,2465,0.3617377852262473,0.3177774912981823,7757,0.4940054144643548,0
Aitkin,14937,62,309,52,2,8,352,186,0.9500699656532248,0.0039435186363058145,0.01965398804223381,0.003307467243353263,0.00012721027859051014,0.0005088411143620406,0.02238900903192978,0.01183055590891744,2014,0.5558344743648258,7307,3200,3788,0.24342005172676098,0.2881484862315533,13146,0.4954358740301232,1
Anoka,291633,17750,2246,14142,107,5092,10279,13847,0.8546047021383213,0.05201480443898737,0.006581704268730458,0.041441879683163915,0.0003135540323927689,0.014921655448074571,0.030121699990329643,0.04057740828544552,2014,0.4575520420282174,118274,57906,55410,0.2240138030817082,0.2143578356087012,258493,0.5038086137729068,1
Becker,29299,154,2517,165,10,118,1112,587,0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445686,0.033318352059925095,0.01758801498127341,2014,0.4837023738280471,12124,5941,5396,0.23702373828047077,0.21528027129463395,25065,0.5014562138440056,1
Beltrami,33600,416,9621,391,48,111,1457,945,0.7361318026465691,0.009114012794671807,0.2107834545613881,0.008566295679607394,0.0010516168609236698,0.0024318639908859872,0.0319209534659539,0.020703706949434755,2014,0.4572477603172272,15567,6456,8252,0.1896313702452636,0.2423850785724776,34045,0.5069173153179615,1
Benton,37032,1046,167,437,0,32,743,791,0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.01883062574448133,0.020047139924474745,2014,0.45223189983669027,13292,6565,5877,0.2233600979858465,0.19995236799129015,29392,0.49962574850299396,1
Big Stone,5038,9,0,0,0,4,47,64,0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328,2014,0.5366277626024336,2161,851,1166,0.21132356592997267,0.28954556741991555,4027,0.507077228706233,1
