County,Total2010,Male2010,Female2010,Total2012,Male2012,Female2012,Total2014,Male2014,Female2014,Total2016,Male2016,Female2016,2010Millenial,2012Millenial,2014Millenial,2016Millenial,2010GenX,2012GenX,2014GenX,2016GenX,2010Boomer,2012Boomer,2014Boomer,2016Boomer,2010Silent,2012Silent,2014Silent,2016Silent,2010FemaleProp,2012FemaleProp,2014FemaleProp,2016FemaleProp,2010MilProp,2012MilProp,2014MilProp,2016MilProp,2010GenXProp,2012GenXProp,2014GenXProp,2016GenXProp,2010BoomerProp,2012BoomerProp,2014BoomerProp,2016BoomerProp,2010SilentProp,2012SilentProp,2014SilentProp,2016SilentProp
Cass,22438,11433,11005,22359,11371,10988,22503,11371,11132,22838,11573,11265,3842,3863,3910,4019,4979,4592,4366,4212,9064,9073,9177,9419,3914,4260,4536,4677,0.49046260807558606,0.4914352162440181,0.4946895969426299,0.49325685261406427,0.1712273821196185,0.17277159085826738,0.17375461049637825,0.1759786321043874,0.22190034762456548,0.2053759112661568,0.19401857530107097,0.1844294596724757,0.40395757197611193,0.40578737868419873,0.4078122916944407,0.4124266573255101,0.17443622426241198,0.19052730444116464,0.2015731235835222,0.2047902618442946
Chippewa,9532,4610,4922,9347,4544,4803,9286,4558,4728,9239,4560,4679,1998,2006,2080,2108,2226,2039,1901,1870,3248,3278,3261,3252,1776,1748,1759,1748,0.5163659253042383,0.5138547127420563,0.5091535645057075,0.5064400909189306,0.20960973562736046,0.21461431475339682,0.22399310790437219,0.2281632211278277,0.23352916491817038,0.21814485931314861,0.204716777945294,0.2024028574521052,0.34074695761644985,0.35070075960201136,0.35117381003661424,0.3519861456867626,0.1863197650020982,0.1870118754680646,0.1894249407710532,0.18919796514774326
Chisago,40159,20751,19408,40469,20911,19558,41105,21277,19828,41993,21764,20229,8998,9061,9339,9590,13018,12002,11323,10918,12626,13615,14324,15060,4209,4476,4892,5165,0.4832789661097139,0.4832835009513455,0.4823744070064469,0.4817231443335794,0.22405936402798873,0.22389977513652426,0.22719863763532416,0.22837139523253874,0.3241614582036405,0.29657268526526476,0.2754652718647366,0.2599957135713095,0.3144002589705919,0.3364303540981986,0.348473421724851,0.35863120043816826,0.10480838666301452,0.11060317774098692,0.11901228561002311,0.12299668992451122
Clay,45399,22041,23358,46304,22517,23787,46911,22924,23987,47718,23263,24455,15026,15487,15546,15540,10161,9986,10163,10897,11752,12210,12591,12882,5226,5329,5534,5563,0.5145047247736735,0.5137137180373186,0.5113299652533521,0.5124900456850664,0.33097645322584196,0.33446354526606775,0.33139348979983374,0.325663271721363,0.2238155025441089,0.21566171389080857,0.21664428385666476,0.22836246280229683,0.25886032731998504,0.2636921216309606,0.268401867365863,0.2699610209983654,0.11511266767990484,0.11508724948168625,0.11796806719106392,0.1165807452114506
Clearwater,6539,3268,3271,6569,3293,3276,6613,3329,3284,6674,3377,3297,1297,1322,1340,1356,1578,1483,1476,1463,2295,2402,2394,2462,1170,1184,1225,1222,0.5002293928735281,0.4987060435378292,0.4965976107666717,0.4940065927479772,0.19834837131059796,0.20124828741056477,0.20263118100710723,0.20317650584357208,0.24132130295152163,0.22575734510579998,0.223196733706336,0.219208870242733,0.35097109649793545,0.3656568731922667,0.36201421442613035,0.3688942163620018,0.17892644135188868,0.18024052367179175,0.18524119159231817,0.18309859154929578
Cook,4302,2132,2170,4321,2140,2181,4409,2177,2232,4487,2221,2266,682,689,735,781,953,861,846,825,1898,1940,1924,1929,685,738,812,877,0.504416550441655,0.5047442721592224,0.5062372420049898,0.5050144862937375,0.1585309158530916,0.15945383013191392,0.16670446813336356,0.17405839090706485,0.22152487215248723,0.1992594306873409,0.1918802449535042,0.18386449743704034,0.4411901441190144,0.44897014579958344,0.4363801315491041,0.42990862491642523,0.1592282659228266,0.17079379773200648,0.184168745747335,0.19545353242701136
Cottonwood,8925,4341,4584,8847,4312,4535,8776,4276,4500,8652,4252,4400,1656,1668,1731,1713,2057,1928,1876,1808,3054,3117,3043,3010,1891,1862,1873,1884,0.5136134453781512,0.5126031423081271,0.5127620783956244,0.5085529357374018,0.18554621848739497,0.18853848762292302,0.19724247948951687,0.1979889042995839,0.23047619047619047,0.21792698089747936,0.2137648131267092,0.20896902450300509,0.3421848739495798,0.35232282129535436,0.34674111212397446,0.3478964401294498,0.21187675070028011,0.21046682491239968,0.21342297174111213,0.217753120665742
Crow Wing,48210,23856,24354,48594,24035,24559,49043,24258,24785,49812,24627,25185,10394,10508,10500,10405,11494,10782,10391,10405,16848,17588,18016,18528,7993,8420,8929,9296,0.505164903546982,0.5053916121331852,0.5053728360826214,0.5056010599855456,0.21559842356357603,0.2162406881508005,0.21409783251432415,0.20888540913836023,0.23841526654221115,0.22187924435115447,0.21187529311012784,0.20888540913836023,0.34947106409458617,0.36193768778038443,0.3673511000550537,0.3719585642013973,0.16579547811657333,0.1732724204634317,0.18206471871622862,0.18662169758291175
Dakota,294289,142310,151979,301427,146121,155306,308826,149902,158924,314484,152654,161830,76043,77106,78939,78907,90576,86650,84120,83684,91853,98683,104088,107837,26735,29288,32277,34821,0.5164277292049652,0.5152358614191828,0.5146069307636015,0.5145889774996503,0.25839565868924763,0.25580322930593474,0.25560995512035906,0.250909426234721,0.3077790879033875,0.2874659536139762,0.2723863923374327,0.2660993882041694,0.3121183598435551,0.32738606694158123,0.33704416078957083,0.342901387669961,0.09084607307782486,0.09716448758737604,0.10451516387868898,0.1107242339832869
Dodge,14327,7135,7192,14546,7242,7304,14751,7327,7424,15074,7526,7548,3403,3383,3385,3481,4331,4199,4163,4087,4363,4637,4805,5045,1760,1833,1918,1950,0.5019892510644238,0.502131170081122,0.5032879126838858,0.5007297333156429,0.23752355692049976,0.23257252853018012,0.2294759677310013,0.2309274247047897,0.30229636350945766,0.2886704248590678,0.2822181547013762,0.27112909645747646,0.30452990856424933,0.3187817956826619,0.32574062775405055,0.33468223431073374,0.12284497801354087,0.12601402447408222,0.13002508304521726,0.12936181504577418
Douglas,28131,13996,14135,28538,14198,14340,28809,14302,14507,29159,14504,14655,6140,6399,6360,6327,6327,6106,5976,6069,9734,10005,10279,10403,5027,5286,5469,5664,0.5024705840531798,0.5024879108557012,0.50355791592905,0.5025892520319627,0.21826454800753617,0.22422734599481392,0.2207643444756847,0.21698274975136322,0.2249120187693292,0.21396033359030064,0.20743517650734145,0.20813470969511985,0.34602395933312,0.3505851846660593,0.3567982227776042,0.3567680647484482,0.1786996551846717,0.18522671525685053,0.1898365094241383,0.1942453444905518
Faribault,11309,5545,5764,11097,5438,5659,10982,5366,5616,10799,5314,5485,2118,2093,2131,2034,2456,2323,2252,2208,4050,4098,4044,4009,2374,2283,2279,2245,0.5096825537182775,0.5099576462106876,0.5113822618830814,0.507917399759237,0.1872844637014767,0.18860953410831757,0.19404480058277182,0.18835077321974256,0.2171721637633743,0.209335856537803,0.20506283008559462,0.2044633762385406,0.3581218498540985,0.3692889970262233,0.36823893644144967,0.3712380775997778,0.2099213016181802,0.20573127872397945,0.2075213986523402,0.20788961940920456
Fillmore,15814,7756,8058,15849,7837,8012,15758,7778,7980,15786,7817,7969,3164,3246,3220,3192,3783,3607,3445,3453,5432,5616,5705,5754,2979,2930,2972,2992,0.5095485013279373,0.5055208530506656,0.5064094428226933,0.5048143924996833,0.20007588212975844,0.20480787431383685,0.20434065236705165,0.20220448498669708,0.23921841406348804,0.22758533661429745,0.2186191141007742,0.2187381223869251,0.3434931073732136,0.3543441226575809,0.3620383297372763,0.3645001900418092,0.18837738712533197,0.1848697078680043,0.18860261454499302,0.18953503104016217
Freeborn,24352,11967,12385,24232,11968,12264,23991,11816,12175,23770,11770,12000,4869,5007,4953,4872,5762,5397,5085,4930,8319,8514,8596,8628,4686,4678,4779,4759,0.5085824572930355,0.5061076262793001,0.507481972406319,0.5048380311316786,0.19994250985545334,0.2066275998679432,0.20645241965737152,0.2049642406394615,0.23661300919842312,0.22272202046880157,0.21195448293109917,0.2074042911232646,0.3416146517739816,0.35135358204027733,0.35830102955274895,0.3629785443836769,0.19242772667542707,0.19305051172003962,0.1991996998874578,0.2002103491796382
Goodhue,35285,17318,17967,35407,17408,17999,35460,17498,17962,35776,17688,18088,7510,7472,7482,7493,9167,8565,8080,8096,12048,12752,13209,13304,5541,5588,5702,5872,0.5091965424401304,0.5083458073262349,0.5065425831923294,0.5055903398926654,0.21283831656511265,0.21103171689213998,0.21099830795262267,0.20944208407871198,0.25979878135184925,0.24190131894823058,0.22786238014664412,0.2262969588550984,0.34144820745359217,0.3601547716553224,0.3725042301184433,0.37186940966010734,0.15703556752160974,0.15782189962436807,0.1608009024252679,0.1641323792486583
Grant,4715,2339,2376,4668,2308,2360,4610,2303,2307,4571,2293,2278,894,859,901,899,1038,984,924,947,1688,1703,1691,1673,975,1000,989,953,0.5039236479321315,0.5055698371893744,0.5004338394793926,0.49835922117698533,0.18960763520678686,0.18401885175664096,0.19544468546637744,0.19667468825202364,0.22014846235418875,0.21079691516709512,0.2004338394793926,0.20717567271931744,0.3580063626723224,0.3648243359040274,0.3668112798264642,0.3660030627871363,0.2067868504772004,0.21422450728363324,0.21453362255965294,0.20848829577772915
Hennepin,892726,434001,458725,919299,448043,471256,942542,460096,482446,963497,472530,490967,271613,280435,286706,290334,239486,236519,236653,241400,259803,277015,289248,297558,92374,95754,101009,105886,0.5138474739169689,0.5126253808608516,0.5118562355841968,0.5095677516380435,0.3042512484233684,0.3050530893648312,0.3041837923402883,0.3013335796582657,0.2682637225755719,0.2572819071923281,0.2510795274905521,0.25054566853866694,0.2910221053268304,0.30133286341005483,0.30688075438548096,0.3088312677673101,0.10347407827261668,0.10415980002153816,0.10716657719231609,0.10989759179322821
Houston,14664,7189,7475,14629,7206,7423,14697,7249,7448,14675,7234,7441,2839,2825,2903,2876,3609,3335,3190,3191,5326,5553,5655,5675,2452,2455,2532,2587,0.5097517730496454,0.5074167748991729,0.5067700891338368,0.5070528109028961,0.19360338243316966,0.1931095768678652,0.1975233040756617,0.19597955706984668,0.24611292962356793,0.22797183676259486,0.21705109886371368,0.21744463373083475,0.363202400436443,0.37958848861849753,0.3847724025311288,0.38671209540034074,0.16721222040370975,0.16781734910110055,0.17228005715452133,0.1762862010221465
Hubbard,15972,7992,7980,16054,8051,8003,16255,8165,8090,16341,8238,8103,2726,2725,2699,2705,3745,3430,3240,3181,6173,6428,6644,6699,2912,3049,3275,3393,0.4996243425995492,0.49850504547153357,0.4976930175330668,0.4958692858454195,0.17067367893814175,0.16973962875295875,0.16604121808674255,0.16553454500948533,0.23447282744803405,0.21365391802666003,0.1993232851430329,0.19466372926993453,0.38648885549712,0.4003986545409244,0.4087357736081206,0.40995043143014503,0.1823190583521162,0.1899215148872555,0.2014764687788373,0.20763723150357996
Isanti,28073,14078,13995,28458,14252,14206,28810,14462,14348,29421,14787,14634,7039,6970,6880,6945,8142,7687,7372,7293,8802,9487,9992,10470,3188,3411,3704,3861,0.4985217112528052,0.4991917914119053,0.4980215203054495,0.4973998164576323,0.2507391443735974,0.24492234169653523,0.23880597014925373,0.2360558784541654,0.2900295657749439,0.2701173659427929,0.25588337382853177,0.24788416437238708,0.31353970006768067,0.33336847283716353,0.34682401943769525,0.3558682573671867,0.11356107291703772,0.11986084756483238,0.12856646997570287,0.13123279290302844
Itasca,35257,17637,17620,35487,17705,17782,35694,17842,17852,35594,17846,17748,6532,6778,6777,6631,8077,7654,7527,7470,13599,13882,13986,14024,5948,6177,6459,6531,0.499758913123635,0.5010849043311635,0.500140079565193,0.49862336348822833,0.18526817369600362,0.1909995209513343,0.18986384266263237,0.1862954430521998,0.2290892588705789,0.2156846169019641,0.2108757774415868,0.20986683148845311,0.38571063902203817,0.39118550455096235,0.3918305597579425,0.3939989885935832,0.16870408713163343,0.17406374165187252,0.1809547823163557,0.18348598078327807
Jackson,7954,3998,3956,7992,4025,3967,7970,4017,3953,7770,3944,3826,1539,1629,1687,1541,1880,1737,1679,1683,2713,2825,2845,2831,1579,1568,1550,1510,0.4973598189590143,0.4963713713713714,0.4959849435382685,0.4924066924066924,0.19348755343223537,0.20382882882882883,0.21166875784190714,0.19832689832689832,0.23635906462157405,0.21734234234234234,0.2106649937264743,0.2166023166023166,0.34108624591400555,0.35347847847847846,0.3569636135508156,0.36435006435006434,0.1985164697007795,0.1961961961961962,0.1944792973651192,0.19433719433719435
Kanabec,12343,6210,6133,12384,6242,6142,12465,6317,6148,12478,6331,6147,2466,2432,2455,2438,3235,2984,2827,2787,4485,4675,4777,4847,1790,1915,2044,2094,0.4968808231386211,0.4959625322997416,0.4932210188527878,0.4926270235614682,0.1997893542898809,0.19638242894056848,0.19695146409947853,0.19538387562109313,0.26209187393664424,0.2409560723514212,0.22679502607300442,0.22335310145856707,0.36336384995544035,0.3775032299741602,0.38323305254713197,0.38844366084308385,0.145021469658916,0.15463501291989665,0.16397914159647012,0.16781535502484374
Kandiyohi,32115,15838,16277,32308,15968,16340,32308,16028,16280,32322,16081,16241,7709,7998,8025,7884,7504,7137,6932,6961,10678,11078,11239,11331,4972,5051,5188,5250,0.5068348123929628,0.5057570880277331,0.5038999628574966,0.5024750943629726,0.24004359333644715,0.24755478519252197,0.2483904915191284,0.24392054947094857,0.2336602833566869,0.22090503899962857,0.21455986133465396,0.21536414825815234,0.3324926047018527,0.3428872105979943,0.3478704964714622,0.35056617783552996,0.15481862058228243,0.1563389872477405,0.1605794230531138,0.1624280675700761
Kittson,3572,1784,1788,3513,1777,1736,3469,1747,1722,3395,1703,1692,521,532,578,575,812,752,687,658,1364,1382,1374,1318,795,754,734,740,0.5005599104143337,0.4941645317392542,0.4963966560968579,0.498379970544919,0.14585666293393057,0.15143751779106177,0.16661862208129144,0.16936671575846834,0.22732362821948487,0.21406205522345573,0.1980397809166907,0.19381443298969073,0.3818589025755879,0.3933959578707657,0.3960795618333814,0.3882179675994109,0.22256438969764838,0.21463136920011386,0.21158835399250506,0.21796759941089838
Koochiching,10534,5212,5322,10463,5209,5254,10375,5149,5226,10250,5132,5118,1768,1801,1835,1778,2525,2338,2126,2030,4052,4133,4207,4245,1858,1869,1903,1935,0.5052211885323714,0.5021504348657173,0.5037108433734939,0.4993170731707317,0.16783747864059237,0.17213036414030392,0.17686746987951807,0.17346341463414633,0.23970001898614013,0.22345407626875657,0.2049156626506024,0.1980487804878049,0.384659198784887,0.39501099111153587,0.40549397590361447,0.4141463414634146,0.1763812416935637,0.17862945617891618,0.18342168674698794,0.18878048780487805
Lac qui Parle,5718,2841,2877,5598,2785,2813,5494,2714,2780,5420,2707,2713,883,871,897,912,1209,1122,992,982,2158,2153,2157,2080,1336,1301,1294,1298,0.5031479538300105,0.5025008931761343,0.5060065526028394,0.5005535055350554,0.15442462399440363,0.15559128260092892,0.16326902074990898,0.16826568265682657,0.21143756558237145,0.20042872454448016,0.18056061157626502,0.18118081180811807,0.37740468695348023,0.38460164344408715,0.39261012013105206,0.3837638376383764,0.2336481287163344,0.2324044301536263,0.2355296687295231,0.23948339483394834
Lake,8782,4429,4353,8754,4424,4330,8577,4356,4221,8565,4368,4197,1562,1556,1525,1468,1887,1734,1624,1656,3366,3456,3423,3433,1753,1804,1819,1822,0.49567296743338646,0.4946310258167695,0.49213011542497376,0.49001751313485115,0.17786381234342974,0.17774731551290837,0.17780109595429638,0.171395213076474,0.2148713277157823,0.19808087731322824,0.1893435933310015,0.19334500875656743,0.3832839899795035,0.3947909527073338,0.3990905911157748,0.40081727962638647,0.19961284445456615,0.20607722184144392,0.21207881543663284,0.21272621132516054
Lake of the Woods,3224,1654,1570,3204,1638,1566,3166,1628,1538,3102,1590,1512,487,476,495,514,742,683,618,580,1351,1385,1406,1383,565,575,570,561,0.4869727047146402,0.4887640449438202,0.4857864813644978,0.4874274661508704,0.1510545905707196,0.14856429463171036,0.15634870499052433,0.16569954867827208,0.23014888337468983,0.21317103620474406,0.19519898926089704,0.18697614442295293,0.41904466501240695,0.4322721598002497,0.44409349336702464,0.4458413926499033,0.17524813895781638,0.17946317103620474,0.18003790271636133,0.18085106382978725
Le Sueur,20695,10455,10240,20768,10435,10333,21001,10535,10466,21073,10545,10528,4636,4519,4533,4437,5816,5452,5301,5196,6892,7215,7460,7658,2790,2974,3095,3171,0.49480550857695094,0.49754429892141755,0.49835722108471026,0.4995966402505576,0.22401546267214303,0.21759437596302003,0.2158468644350269,0.21055378920894036,0.2810340661995651,0.26251926040061635,0.2524165515927813,0.24657144212973947,0.33302730128050256,0.3474094761171032,0.3552211799438122,0.3634034072035306,0.13481517274704036,0.14320107858243453,0.14737393457454406,0.15047691358610543
Lincoln,4568,2269,2299,4478,2229,2249,4441,2200,2241,4390,2188,2202,835,796,810,811,991,927,918,899,1545,1556,1510,1507,1095,1086,1094,1067,0.5032837127845884,0.5022331397945511,0.5046160774600316,0.5015945330296128,0.18279334500875657,0.17775792764627066,0.18239135329880657,0.1847380410022779,0.21694395796847635,0.20701205895489058,0.20671020040531413,0.20478359908883828,0.33822241681260945,0.3474765520321572,0.34001351047061473,0.34328018223234624,0.23971103327495621,0.24251898168825367,0.2463409142085116,0.2430523917995444
Lyon,19579,9626,9953,19391,9622,9769,19382,9552,9830,19350,9554,9796,5865,5696,5483,5213,4576,4400,4335,4472,5534,5798,5971,6033,2600,2616,2669,2705,0.5083507840032688,0.5037904182352638,0.5071716025178,0.5062532299741602,0.29955564635578935,0.2937445206539116,0.2828913424827159,0.269405684754522,0.2337198018284897,0.22690939095456655,0.22366112888246828,0.2311111111111111,0.2826497778231779,0.29900469289876747,0.308069342689093,0.3117829457364341,0.13279534194800552,0.134907946985715,0.137705087194304,0.13979328165374677
McLeod,27370,13501,13869,27147,13361,13786,27233,13436,13797,27400,13566,13834,6358,6175,6201,6246,7601,7104,6688,6515,8570,8941,9227,9349,4015,4133,4333,4498,0.5067226890756302,0.5078277526061812,0.5066279881026695,0.5048905109489051,0.23229813664596274,0.22746528161491142,0.22770168545514632,0.22795620437956204,0.2777128242601388,0.2616863741849928,0.2455844012778614,0.23777372262773722,0.3131165509682134,0.3293549931852507,0.3388168765835567,0.3412043795620438,0.14669345999269273,0.15224518362986703,0.1591084346197628,0.16416058394160585
Mahnomen,3834,1903,1931,3842,1887,1955,3810,1851,1959,3780,1849,1931,845,891,881,830,901,854,837,826,1338,1348,1338,1356,610,632,626,639,0.5036515388628064,0.5088495575221239,0.5141732283464567,0.5108465608465609,0.220396452790819,0.23191046330036438,0.23123359580052494,0.21957671957671956,0.23500260824204486,0.22228006246746487,0.21968503937007874,0.21851851851851853,0.3489827856025039,0.3508589276418532,0.35118110236220473,0.35873015873015873,0.15910276473656756,0.16449765747006767,0.16430446194225723,0.16904761904761906
Marshall,7215,3663,3552,7251,3694,3557,7253,3704,3549,7237,3707,3530,1352,1431,1488,1479,1791,1657,1531,1514,2530,2577,2651,2667,1344,1364,1373,1375,0.49230769230769234,0.4905530271686664,0.4893147663035985,0.48777117590161667,0.1873873873873874,0.19735208936698387,0.2051564869709086,0.20436645018654137,0.24823284823284825,0.22852020410977797,0.21108506824762166,0.20920270830454607,0.35065835065835066,0.35539925527513444,0.3655039294085206,0.368522868591958,0.1862785862785863,0.18811198455385464,0.18930097890528058,0.18999585463589885
