County,Total2010,Male2010,Female2010,Total2012,Male2012,Female2012,Total2014,Male2014,Female2014,Total2016,Male2016,Female2016,2010Millenial,2012Millenial,2014Millenial,2016Millenial,2010GenX,2012GenX,2014GenX,2016GenX,2010Boomer,2012Boomer,2014Boomer,2016Boomer,2010Silent,2012Silent,2014Silent,2016Silent,2010FemaleProp,2012FemaleProp,2014FemaleProp,2016FemaleProp,2010MilProp,2012MilProp,2014MilProp,2016MilProp,2010GenXProp,2012GenXProp,2014GenXProp,2016GenXProp,2010BoomerProp,2012BoomerProp,2014BoomerProp,2016BoomerProp,2010SilentProp,2012SilentProp,2014SilentProp,2016SilentProp
Martin,16202,7883,8319,15990,7838,8152,15841,7776,8065,15570,7645,7925,3088,3101,3210,3093,3635,3312,3130,3066,5802,5866,5889,5824,3250,3255,3221,3170,0.5134551289964202,0.5098186366479049,0.5091218988700208,0.5089916506101477,0.19059375385754845,0.1939337085678549,0.20263872230288493,0.19865125240847784,0.22435501789902482,0.20712945590994372,0.19758853607726784,0.19691714836223506,0.35810393778545857,0.36685428392745467,0.3717568335332365,0.37405266538214516,0.2005925194420442,0.20356472795497185,0.20333312290890726,0.2035966602440591
Meeker,17415,8818,8597,17320,8801,8519,17411,8774,8637,17438,8830,8608,3613,3601,3592,3540,4480,4112,3974,3944,6064,6278,6434,6461,2765,2828,2905,2972,0.49365489520528283,0.4918591224018476,0.4960657055884211,0.4936345911228352,0.20746482917025552,0.20790993071593533,0.20630635804950892,0.20300493175822915,0.2572494975595751,0.2374133949191686,0.228246510826489,0.22617272623007226,0.34820556991099627,0.3624711316397229,0.36953649991384757,0.3705126734717284,0.15877117427505025,0.16327944572748268,0.16684854402389293,0.17043238903543984
Mille Lacs,19475,9658,9817,19255,9543,9712,19303,9545,9758,19393,9661,9732,4435,4326,4284,4197,5280,4882,4630,4644,6171,6457,6731,6866,2942,3022,3126,3148,0.5040821566110398,0.5043884705271358,0.5055172771071854,0.501830557417625,0.22772785622593067,0.2246689171643729,0.22193441433973993,0.2164182952611767,0.2711168164313222,0.253544533887302,0.23985908926073668,0.2394678492239468,0.31686777920410786,0.33534146974811735,0.34870227425788736,0.35404527406796266,0.15106546854942235,0.1569462477278629,0.16194373931513237,0.16232661269530244
Morrison,25084,12562,12522,25185,12575,12610,25092,12574,12518,25142,12561,12581,5660,5665,5462,5315,6423,6033,5792,5704,8375,8775,9046,9279,3840,3967,4088,4163,0.4992026789985648,0.5006948580504268,0.4988841064881237,0.5003977408320738,0.2256418434061553,0.22493547746674608,0.21767894149529732,0.2113992522472357,0.25605963961090733,0.2395473496128648,0.23083054359955366,0.22687137061490734,0.3338781693509807,0.3484216795711733,0.3605133110154631,0.36906371808129823,0.15308563227555413,0.1575143934881874,0.1629204527339391,0.16557950839233157
Mower,29327,14444,14883,29563,14632,14931,29652,14727,14925,29620,14694,14926,6904,7033,7072,7078,7163,6984,6911,6803,9024,9419,9670,9858,5266,5222,5148,5054,0.507484570532274,0.5050569969218279,0.5033387292594091,0.5039162727886564,0.23541446448665052,0.23789872475729798,0.23849993255092405,0.23896016205266712,0.24424591673202167,0.2362412475053276,0.23307028193713747,0.22967589466576638,0.30770279946806695,0.3186077191083449,0.3261162822069338,0.3328156650911546,0.17956149623214104,0.17663971856712782,0.1736139214892756,0.17062795408507764
Murray,6762,3338,3424,6699,3321,3378,6615,3271,3344,6509,3214,3295,1165,1186,1181,1170,1472,1386,1300,1258,2506,2504,2479,2445,1445,1437,1472,1469,0.5063590653652765,0.5042543663233319,0.5055177626606198,0.5062221539406975,0.1722863058266785,0.17704134945514255,0.17853363567649283,0.1797511138423721,0.21768707482993196,0.20689655172413793,0.1965230536659108,0.19327085573820862,0.37060041407867494,0.3737871324078221,0.3747543461829176,0.37563373790136734,0.2136941733215025,0.21450962830273176,0.22252456538170823,0.22568750960208941
Nicollet,25378,12588,12790,25642,12752,12890,26017,13016,13001,26251,13187,13064,7806,7672,7722,7322,5875,5768,5672,5955,7405,7753,8057,8169,2796,2992,3130,3372,0.5039798250453148,0.5026908977458856,0.49971172694776494,0.4976572321054436,0.3075892505319568,0.2991966305280399,0.29680593458123533,0.27892270770637306,0.2314997241705414,0.22494345214881833,0.21801130030364763,0.22684850100948536,0.29178816297580584,0.30235551049060133,0.3096821309144021,0.3111881452135157,0.11017416660099298,0.11668356602449106,0.12030595379943883,0.12845224943811664
Nobles,15927,8150,7777,16040,8288,7752,16009,8289,7720,16171,8394,7777,4062,4287,4294,4321,3872,3736,3657,3657,4860,4938,5035,5138,2567,2538,2484,2507,0.48829032460601496,0.4832917705735661,0.48222874633018925,0.48092263929256074,0.25503861367489167,0.2672693266832918,0.2682241239302892,0.2672067280935007,0.2431091856595718,0.23291770573566084,0.22843400587169718,0.2261455692288665,0.30514221133923525,0.30785536159600996,0.3145105877943657,0.31772926844350996,0.16117285113329566,0.15822942643391522,0.1551627209694547,0.15503061035186444
Norman,5178,2549,2629,5042,2485,2557,5050,2510,2540,5011,2498,2513,887,861,914,939,1249,1144,1090,1084,1814,1834,1859,1820,1083,1048,1023,1018,0.5077249903437621,0.5071400238000794,0.502970297029703,0.501496707244063,0.17130166087292392,0.17076556921856406,0.18099009900990098,0.18738774695669527,0.24121282348397063,0.2268940896469655,0.21584158415841584,0.21632408700858113,0.3503283120896099,0.3637445458151527,0.3681188118811881,0.3632009578926362,0.20915411355735805,0.20785402618008728,0.2025742574257426,0.2031530632608262
Olmsted,108047,52010,56037,110204,53194,57010,112873,54591,58282,115357,55709,59648,30241,30557,30795,31228,29035,28064,28079,28508,32836,34917,36336,37222,12833,13537,14548,15397,0.5186354086647478,0.5173133461580341,0.5163502343341632,0.5170730861586206,0.27988745638472146,0.2772766868716199,0.2728287544408317,0.2707074559844656,0.268725647172064,0.25465500344815073,0.24876631258139678,0.24712847941607358,0.30390478217812616,0.3168396791405031,0.3219193252593623,0.3226678918487825,0.11877238609123807,0.12283583173024573,0.1288882195033356,0.1334726111115927
Otter Tail,44862,22288,22574,44976,22465,22511,45143,22564,22579,45312,22622,22690,8158,8393,8620,8549,9994,9203,8816,8788,16818,17325,17512,17615,8617,8757,8985,9140,0.5031875529401275,0.500511383849164,0.5001661387147509,0.5007503531073446,0.18184655164727387,0.18661063678406262,0.19094876282037082,0.18866966807909605,0.22277205652891088,0.20462024190679473,0.19529052123252774,0.193944209039548,0.3748829744549953,0.38520544290288156,0.3879228230290411,0.3887491172316384,0.19207792786768313,0.19470384204909286,0.19903418027158143,0.20171257062146894
Pennington,10647,5201,5446,10823,5301,5522,10848,5359,5489,10940,5464,5476,2616,2830,2820,2783,2628,2535,2505,2547,3435,3526,3566,3566,1600,1619,1661,1733,0.5115055884286653,0.5102097385198189,0.5059918879056047,0.5005484460694698,0.24570301493378416,0.26148018109581445,0.25995575221238937,0.25438756855575867,0.24683009298393913,0.2342234131017278,0.23091814159292035,0.23281535648994517,0.3226260918568611,0.32578767439711726,0.3287241887905605,0.3259597806215722,0.15027707335399643,0.14958883858449598,0.15311578171091444,0.1584095063985375
Pine,23128,12491,10637,23002,12383,10619,23044,12376,10668,23080,12424,10656,5220,5014,4942,4682,6213,5747,5406,5302,7764,8103,8428,8745,3307,3529,3729,3780,0.4599187132480111,0.46165550821667684,0.4629404617253949,0.4616984402079723,0.225700449671394,0.21798104512651073,0.21445929526123936,0.20285961871750433,0.26863542026980286,0.24984783931832014,0.23459468842214892,0.22972270363951472,0.33569699066067105,0.35227371532910184,0.36573511543134873,0.3788994800693241,0.14298685575925285,0.15342144161377272,0.1618208644332581,0.1637781629116118
Pipestone,7218,3462,3756,7085,3424,3661,7021,3367,3654,6853,3292,3561,1438,1411,1456,1401,1756,1584,1487,1441,2307,2411,2450,2395,1501,1449,1425,1420,0.5203657522859518,0.5167254763585039,0.5204386839481555,0.5196264409747556,0.19922416181767802,0.19915314043754412,0.2073778664007976,0.20443601342477746,0.2432806871709615,0.2235709244883557,0.2117931918530124,0.2102728731942215,0.3196176226101413,0.3402964008468596,0.3489531405782652,0.3494819786954618,0.20795234136880023,0.2045165843330981,0.20296254094858282,0.2072085218152634
Polk,24119,12002,12117,24119,12073,12046,24094,12056,12038,24035,12030,12005,5744,5975,5994,5991,5768,5348,5187,5179,7757,8054,8161,8206,3842,3813,3854,3820,0.502384012604171,0.49944027530162943,0.499626463019839,0.49947992510921574,0.23815249388448942,0.24773000538994153,0.24877562878724993,0.24926149365508632,0.239147560014926,0.22173390273228574,0.21528181289947704,0.21547742874973996,0.321613665574858,0.33392760893901074,0.33871503278824605,0.3414187643020595,0.15929350304739,0.1580911314731125,0.15995683572673694,0.1589348866236738
Pope,8654,4331,4323,8560,4261,4299,8606,4303,4303,8666,4382,4284,1664,1654,1699,1752,1901,1777,1712,1712,3174,3223,3249,3271,1704,1701,1738,1729,0.49953778599491566,0.5022196261682244,0.5,0.49434571890145396,0.1922810261150913,0.19322429906542057,0.19742040436904484,0.20216939764597278,0.21966720591633926,0.20759345794392522,0.19893097838717175,0.1975536579736903,0.3667668130344349,0.37651869158878504,0.3775273065303277,0.3774521117009001,0.19690316616593484,0.19871495327102803,0.20195212642342553,0.19951534733441034
Ramsey,390693,186212,204481,400045,191010,209035,408635,195677,212958,416225,199604,216621,121277,126162,129241,130281,95229,93533,93627,95983,113113,119182,123482,126278,43872,44755,46657,48282,0.5233802499660859,0.5225287155195041,0.5211447869125259,0.5204420685927083,0.3104150829423614,0.3153695209288955,0.31627491526668056,0.3130061865577512,0.24374380907771576,0.2338061968028597,0.22912134300781872,0.23060363985824975,0.2895188805532733,0.29792148383306877,0.3021816535539051,0.3033887921196468,0.11229277207423732,0.11187491407216688,0.11417768913578132,0.11599975974533006
Red Lake,3072,1566,1506,3053,1541,1512,3011,1526,1485,3019,1526,1493,668,654,610,569,727,691,677,689,1087,1111,1146,1145,509,515,510,547,0.490234375,0.495250573206682,0.49319163068747923,0.49453461411063265,0.21744791666666666,0.214215525712414,0.2025905014945201,0.18847300430606162,0.23665364583333334,0.22633475270226008,0.22484224510129525,0.22822126531964226,0.3538411458333333,0.36390435637078283,0.38060445034872137,0.37926465717124874,0.16569010416666666,0.168686537831641,0.16937894387246763,0.18118582312023848
Redwood,12066,5916,6150,11942,5871,6071,11736,5813,5923,11547,5740,5807,2351,2395,2394,2358,2933,2669,2500,2432,4025,4137,4146,4102,2398,2382,2356,2298,0.5096966683242168,0.5083738067325406,0.5046864349011588,0.5029011864553564,0.1948450190618266,0.20055267124434767,0.20398773006134968,0.20420888542478566,0.2430797281617769,0.22349690169150896,0.21301976823449217,0.21061747640079675,0.3335819658544671,0.34642438452520513,0.3532719836400818,0.3552437862648307,0.19874026189292227,0.1994640763691174,0.2007498295841854,0.19901273057937127
Renville,12055,6090,5965,11800,5980,5820,11537,5893,5644,11285,5739,5546,2308,2347,2298,2246,2891,2611,2451,2375,4247,4265,4228,4202,2270,2234,2224,2151,0.4948154292824554,0.49322033898305084,0.4892086330935252,0.4914488258750554,0.19145582745748652,0.19889830508474576,0.19918523012914968,0.19902525476295968,0.23981750311074243,0.22127118644067797,0.21244690994192597,0.2104563579973416,0.3523019493985898,0.3614406779661017,0.36647308659096817,0.37235268054940185,0.1883036084612194,0.1893220338983051,0.1927710843373494,0.19060700044306603
Rice,49127,25119,24008,49817,25456,24361,50428,25776,24652,51208,26179,25029,13813,13758,13949,13991,12675,12217,11761,11730,13898,14689,15371,15871,5606,5865,6167,6471,0.4886925723125776,0.48900977577935245,0.48885539779487586,0.48877128573660367,0.28116921448490645,0.2761707850733685,0.27661219957166655,0.27321902827683175,0.25800476316485843,0.24523756950438605,0.2332236059332117,0.22906577097328543,0.28289942394202783,0.29485918461569344,0.30481081938605536,0.3099320418684581,0.11411240254849675,0.11773089507597807,0.12229317046085508,0.1263669739103265
Rock,7157,3482,3675,7075,3437,3638,7004,3422,3582,6996,3435,3561,1432,1390,1409,1441,1734,1668,1609,1609,2409,2477,2445,2436,1370,1318,1330,1309,0.5134833030599413,0.5142049469964665,0.5114220445459737,0.5090051457975986,0.20008383400866284,0.19646643109540637,0.2011707595659623,0.2059748427672956,0.24228028503562946,0.23575971731448764,0.22972587093089664,0.22998856489422528,0.33659354478133297,0.3501060070671378,0.3490862364363221,0.3481989708404803,0.19142098644683528,0.18628975265017667,0.18989149057681326,0.1871069182389937
Roseau,11490,5881,5609,11548,5923,5625,11731,6011,5720,11754,6054,5700,2249,2237,2412,2506,3394,3172,2957,2751,3941,4136,4300,4419,1553,1596,1672,1700,0.48816362053959966,0.48709733287149287,0.48759696530560054,0.4849412965798877,0.19573542210617928,0.19371319709040527,0.20560906998550849,0.21320401565424538,0.2953872932985204,0.2746795981988223,0.25206717244906657,0.23404798366513527,0.34299390774586597,0.3581572566678213,0.36655016622623815,0.3759571209800919,0.1351610095735422,0.13820574991340492,0.142528343704714,0.1446316147694402
St. Louis,160695,79963,80732,161490,80651,80839,162002,81017,80985,161666,80638,81028,40844,41664,42263,41675,35603,33714,32811,32727,53696,55371,56107,56393,22931,23035,23588,23871,0.5023927315722331,0.5005820793857205,0.4999012357872125,0.5012061905409919,0.2541709449578394,0.25799739921976594,0.26087949531487264,0.2577845681837863,0.22155636454152275,0.20876834478915104,0.20253453661065912,0.2024358863335519,0.3341485422695168,0.34287571985881476,0.34633523042925396,0.3488241188623458,0.1426989016459753,0.14264041117097034,0.14560314070196664,0.14765627899496492
Scott,91231,45060,46171,95360,47187,48173,99168,49148,50020,103064,51042,52022,23728,24240,24804,25327,33545,33173,32707,32619,24826,27579,30279,32854,6485,7182,8202,9001,0.5060889390667646,0.5051698825503356,0.5043965795417876,0.5047543274082124,0.2600870318203242,0.25419463087248323,0.2501210067763795,0.24574051075060158,0.3676929990902215,0.3478712248322148,0.32981405292029686,0.3164926647519988,0.27212241453014874,0.2892093120805369,0.30533034849951596,0.31877280136614145,0.07108329405574859,0.07531459731543624,0.0827081316553727,0.08733408367616238
Sherburne,63022,32290,30732,64327,32912,31415,66048,33859,32189,68177,34998,33179,17835,17606,17669,18031,21171,20497,20058,20011,17033,18749,20317,21693,4871,5271,5830,6195,0.48763923709180923,0.48836413947487056,0.4873576792635659,0.48665972395382606,0.28299641395068387,0.27369533788300404,0.26751756298449614,0.2644733561171656,0.3359303100504586,0.3186375860836041,0.30368822674418605,0.29351540842219515,0.27027069912094187,0.2914639265005363,0.307609617248062,0.3181864851782859,0.07729046999460505,0.08194070918898752,0.08826913759689922,0.09086642122710005
Sibley,11339,5636,5703,11314,5642,5672,11241,5599,5642,11268,5654,5614,2459,2431,2386,2373,3023,2848,2692,2655,3682,3855,3954,4047,1844,1826,1882,1856,0.502954405150366,0.5013257910553297,0.5019126412240904,0.4982250621228257,0.21686215715671575,0.2148665370337635,0.21225869584556534,0.21059637912673057,0.2666019931210865,0.2517235283719286,0.23948047326750288,0.2356230031948882,0.3247199929447041,0.34072830121972775,0.35174806511876167,0.3591586794462194,0.16262457006790723,0.16139296446879972,0.16742282715060938,0.16471423500177493
Stearns,115879,58220,57659,117003,58711,58292,118561,59517,59044,120393,60580,59813,36271,36529,36694,36639,27732,26611,25934,25882,31573,33280,34803,36198,13243,13714,14420,15058,0.4975793715858784,0.49820944762100117,0.4980052462445492,0.4968145988554152,0.3130075337205188,0.312205669940087,0.309494690496875,0.304328324736488,0.23931859957369325,0.22743861268514481,0.21873972048143994,0.214979276203766,0.272465243918225,0.2844371511841577,0.293545094930036,0.3006653210734843,0.11428300209701499,0.11721066981188516,0.12162515498351059,0.1250737169104516
Steele,26885,13183,13702,26928,13298,13630,27240,13449,13791,27457,13615,13842,6245,6229,6406,6384,7542,7059,6675,6572,8383,8808,9167,9442,3887,3982,4141,4274,0.5096522224288637,0.50616458704694,0.5062775330396476,0.5041337363878063,0.23228566114933977,0.23132055852644087,0.23516886930983846,0.23250901409476638,0.28052817556258136,0.2621434937611408,0.2450440528634361,0.23935608405870998,0.31180955923377346,0.3270944741532977,0.3365271659324523,0.343883162763594,0.14457876139111028,0.14787581699346405,0.15201908957415566,0.1556615799249736
Stevens,7664,3719,3945,7721,3771,3950,7767,3807,3960,7707,3796,3911,2298,2316,2353,2346,1429,1353,1338,1363,2066,2086,2108,2090,1225,1231,1207,1169,0.5147442588726514,0.5115917627250356,0.5098493626882966,0.507460749967562,0.29984342379958245,0.2999611449294133,0.30294837131453584,0.30439859867652785,0.1864561586638831,0.17523636834606915,0.17226728466589417,0.1768522122745556,0.2695720250521921,0.2701722574796011,0.2714046607441741,0.2711820422992085,0.15983820459290188,0.15943530630747313,0.15540105574868032,0.1516802906448683
Swift,7585,3789,3796,7522,3765,3757,7405,3721,3684,7301,3670,3631,1471,1497,1534,1509,1793,1680,1580,1553,2580,2640,2638,2618,1509,1467,1465,1428,0.5004614370468029,0.4994682265354959,0.4975016880486158,0.4973291329954801,0.1939353988134476,0.19901621909066738,0.20715732613099258,0.20668401588823448,0.23638760711931445,0.2233448550917309,0.21336934503713706,0.212710587590741,0.34014502307185235,0.35097048657272,0.3562457798784605,0.3585810162991371,0.1989452867501648,0.19502791810688647,0.19783929777177583,0.1955896452540748
Todd,18710,9535,9175,18695,9535,9160,18568,9485,9083,18643,9487,9156,3828,3765,3712,3680,4518,4237,3908,3851,6719,6906,7086,7150,3008,3165,3308,3423,0.4903794762159273,0.48997058036908264,0.4891749246014649,0.49112267338947596,0.20459647247461252,0.20139074618882055,0.1999138302455838,0.19739312342434157,0.2414751469802245,0.2266381385397165,0.21046962516156828,0.20656546693128788,0.3591127739176911,0.3694035838459481,0.38162429987074536,0.3835219653489245,0.1607696419027258,0.169296603369885,0.17815596725549332,0.18360778844606554
Traverse,2758,1352,1406,2690,1328,1362,2673,1313,1360,2638,1314,1324,454,440,479,471,588,560,508,491,915,908,930,960,732,699,675,649,0.5097897026831038,0.5063197026022305,0.508791619902731,0.5018953752843063,0.1646120377084844,0.16356877323420074,0.17919940142162363,0.17854435178165276,0.2131979695431472,0.20817843866171004,0.19004863449307893,0.18612585291887793,0.33176214648295865,0.337546468401487,0.3479236812570146,0.3639120545868082,0.2654097171863669,0.25985130111524163,0.25252525252525254,0.2460197119029568
Wabasha,16630,8282,8348,16686,8309,8377,16728,8305,8423,16780,8311,8469,3304,3276,3341,3325,4377,4105,3847,3711,5846,6076,6246,6379,2622,2743,2835,2945,0.5019843656043296,0.5020376363418435,0.5035270205643233,0.5047079856972586,0.19867708959711364,0.19633225458468176,0.19972501195600192,0.19815256257449346,0.26319903788334337,0.24601462303727675,0.2299736967957915,0.22115613825983313,0.35153337342152735,0.3641376003835551,0.3733859397417504,0.3801549463647199,0.1576668671076368,0.16438930840225338,0.16947632711621233,0.17550655542312277
Wadena,10486,5139,5347,10371,5129,5242,10270,5094,5176,10197,5028,5169,2023,2117,2183,2131,2435,2223,2159,2179,3518,3566,3556,3550,2151,2123,2100,2062,0.5099179858859432,0.5054478835213576,0.5039922103213242,0.5069137981759341,0.19292389853137518,0.2041268922958249,0.21256085686465434,0.20898303422575268,0.23221438107953463,0.21434770031819497,0.21022395326192794,0.21369030106894185,0.33549494564180815,0.34384340950727993,0.34625121713729307,0.3481416102775326,0.2051306503909975,0.20470542859897792,0.2044790652385589,0.20221633813866824
Waseca,14628,6688,7940,14693,6767,7926,14507,6693,7814,14405,6739,7666,3649,3645,3525,3420,3839,3739,3618,3493,4660,4825,4873,4917,2094,2097,2108,2156,0.5427946404156412,0.5394405499217314,0.5386365203005445,0.5321763276640056,0.24945310363686082,0.24807731572857825,0.2429861446198387,0.2374175633460604,0.26244189226141645,0.2544749200299462,0.24939684290342592,0.24248524817771608,0.31856713152857535,0.3283876675968148,0.33590680361204933,0.34133981256508156,0.1431501230516817,0.14272102361668823,0.14530916109464395,0.14967025338424159
Washington,175347,85864,89483,180844,88681,92163,185895,91227,94668,190157,93214,96943,40876,41886,43484,43869,54665,52554,51066,50923,57764,62152,65234,67434,16623,18230,20190,22044,0.5103195378307014,0.5096270819048462,0.5092552247236343,0.5098050558222942,0.23311490929414247,0.23161398774634492,0.2339169961537427,0.23069884358714116,0.3117532663803772,0.29060405653491406,0.2747034616315662,0.26779450664450954,0.3294267937290059,0.34367742363584086,0.3509185292772802,0.3546227590885426,0.09480059539085356,0.100805113799739,0.10860969902364238,0.11592526175738994
Watonwan,8399,4206,4193,8367,4170,4197,8313,4126,4187,8283,4102,4181,1783,1768,1822,1815,1970,1855,1811,1777,2764,2860,2800,2825,1610,1604,1602,1584,0.49922609834504106,0.5016134815346002,0.5036689522434741,0.5047688035735844,0.21228717704488628,0.21130632245727263,0.2191747864790088,0.21912350597609562,0.2345517323490892,0.22170431456914066,0.21785155780103452,0.21453579620910299,0.32908679604714847,0.3418190510338234,0.33682184530253817,0.34106000241458406,0.19168948684367187,0.1917055097406478,0.19271021291952364,0.19123505976095617
Wilkin,5017,2514,2503,5000,2511,2489,4978,2522,2456,4918,2485,2433,947,1002,1033,1006,1306,1201,1116,1099,1722,1776,1830,1830,894,860,842,833,0.4989037273270879,0.4978,0.4933708316593009,0.49471329808865394,0.18875822204504683,0.2004,0.20751305745279228,0.20455469703131354,0.260314929240582,0.2402,0.22418642024909602,0.22346482309882065,0.34323300777356985,0.3552,0.3676175170751306,0.37210248068320456,0.17819413992425753,0.172,0.16914423463238248,0.16937779585197235
Winona,41503,20144,21359,41803,20395,21408,41649,20435,21214,41581,20483,21098,13215,13622,13411,13157,8269,7816,7564,7584,11510,11875,12209,12271,4970,5080,5263,5433,0.5146374960846204,0.5121163552855058,0.5093519652332589,0.5073952045405353,0.3184107172975448,0.3258617802550056,0.32200052822396696,0.31641855655227147,0.19923860925716214,0.18697222687366935,0.1816130039136594,0.1823909958875448,0.2773293496855649,0.2840705212544554,0.29314029148358905,0.2951107476972656,0.11975037949063923,0.12152237877664282,0.12636557900549833,0.13066063827228783
Wright,87696,43736,43960,89919,44871,45048,92324,46101,46223,94799,47414,47385,23073,22797,22732,22608,29241,28734,28255,28367,24701,26848,28995,30659,7985,8623,9431,10208,0.5012771392081737,0.5009842191305508,0.5006607166067328,0.49984704480005065,0.26310207991242474,0.253528175357822,0.24621983449590573,0.23848352830726063,0.333435960591133,0.3195542655056217,0.30604176595468136,0.2992331142733573,0.2816662105455209,0.2985798329607758,0.3140570165937351,0.3234105844998365,0.09105318372559752,0.09589741878802033,0.1021511199688055,0.10768046076435406
Yellow Medicine,7959,4028,3931,7757,3925,3832,7673,3882,3791,7584,3823,3761,1666,1623,1637,1648,1856,1705,1608,1550,2669,2688,2707,2728,1532,1494,1485,1422,0.4939062696318633,0.49400541446435475,0.49407011599113776,0.495912447257384,0.20932277924362358,0.20923037256671392,0.2133454971979669,0.21729957805907174,0.2331951250157055,0.21980146964032488,0.20956601068682393,0.20437763713080168,0.33534363613519286,0.3465257187056852,0.3527955167470351,0.35970464135021096,0.19248649327805,0.19260023204847235,0.19353577479473477,0.1875
