County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race)
Lac qui Parle,6916,6723,70,14,28,0,26,55,145,0.9720936957779063,0.010121457489878543,0.0020242914979757085,0.004048582995951417,0.0,0.0037593984962406013,0.007952573742047426,0.020965876229034123
Lake,10721,10390,96,56,0,7,45,127,149,0.9691260143643317,0.008954388583154557,0.005223393340173492,0.0,0.0006529241675216864,0.004197369648353698,0.011845909896464881,0.013897957280104468
Lake of the Woods,3901,3667,4,12,45,0,0,173,48,0.9400153806716227,0.0010253781081773904,0.0030761343245321714,0.011535503716995642,0.0,0.0,0.04434760317867213,0.012304537298128686
Le Sueur,27650,26471,213,95,125,2,451,293,1553,0.9573598553345389,0.007703435804701627,0.0034358047016274863,0.0045207956600361665,7.233273056057866e-05,0.01631103074141049,0.010596745027124774,0.05616636528028933
Lincoln,5793,5652,13,39,8,0,40,41,93,0.9756602796478508,0.00224408769204212,0.006732263076126359,0.001380977041256689,0.0,0.0069048852062834455,0.007077507336440532,0.01605385810460901
Lyon,25670,22857,763,139,902,0,770,239,1586,0.8904168289832489,0.02972341254382548,0.0054148811842617845,0.03513829372808726,0.0,0.02999610440202571,0.009310479158550837,0.06178418387222439
McLeod,35926,34309,59,75,221,0,698,564,1982,0.954990814451929,0.0016422646551244224,0.0020876245615988422,0.0061515337081779215,0.0,0.019428825919946557,0.015698936703223292,0.055168958414518736
Mahnomen,5480,2615,19,2273,24,22,37,490,188,0.4771897810218978,0.003467153284671533,0.41478102189781024,0.004379562043795621,0.0040145985401459855,0.006751824817518248,0.08941605839416059,0.034306569343065696
Marshall,9406,9168,21,32,20,2,27,136,385,0.9746970019136721,0.0022326174782054007,0.0034020837763129915,0.00212630236019562,0.00021263023601956197,0.002870508186264087,0.014458856049330214,0.04093132043376568
Martin,20193,19708,54,19,152,2,33,225,802,0.9759817758629228,0.0026741940276333383,0.0009409201208339524,0.007527360966671619,9.90442232456792e-05,0.0016342296835537068,0.01114247511513891,0.039716733521517354
Meeker,23094,22500,125,73,88,23,71,214,805,0.9742790335151987,0.005412661297306659,0.0031609941976270895,0.0038105135533038886,0.0009959296787044253,0.0030743916168701826,0.009266476140989001,0.03485753875465489
Mille Lacs,25788,23495,136,1322,110,0,75,650,528,0.9110826741119901,0.00527377074608345,0.051264153870017065,0.004265549868155732,0.0,0.0029083294555607257,0.025205521948192956,0.02047463936714751
Morrison,32850,31929,196,49,167,0,130,379,491,0.9719634703196347,0.0059665144596651445,0.0014916286149162861,0.005083713850837139,0.0,0.0039573820395738205,0.011537290715372907,0.014946727549467275
Mower,39248,35964,1327,43,833,45,299,737,4293,0.9163269465960049,0.03381064003261312,0.0010955972278842234,0.021224011414594374,0.0011465552384834895,0.007618222584590297,0.018778026905829595,0.10938136975132491
Murray,8463,8191,35,25,66,33,39,74,285,0.967860096892355,0.0041356492969396195,0.0029540352120997282,0.0077986529599432825,0.0038993264799716413,0.004608294930875576,0.008743944227815196,0.033676001417936904
Nicollet,33226,31025,951,74,508,0,252,416,1384,0.9337566965629327,0.028622163366038643,0.0022271714922048997,0.015289231324866068,0.0,0.007584421838319389,0.012520315415638356,0.041654126286642994
Nobles,21729,17329,907,98,1303,10,1731,351,5661,0.7975056376271342,0.041741451516406645,0.004510101707395646,0.05996594412996456,0.00046021445993833126,0.07966312301532515,0.01615352754383543,0.26052740577108935
Norman,6638,6172,50,98,31,14,61,212,320,0.9297981319674601,0.007532389273877674,0.014763482976800241,0.004670081349804158,0.0021090689966857487,0.009189514914130762,0.031937330521241335,0.048207291352817115
Olmsted,150104,127969,7903,418,8948,14,1495,3357,6957,0.8525355753344348,0.052650162553962584,0.002784735916431274,0.05961200234504077,9.32686670575068e-05,0.009959761232212332,0.022364493950860737,0.046347865479933914
Otter Tail,57694,55163,782,206,377,7,449,710,1791,0.956130620168475,0.013554269074773806,0.003570561930183381,0.006534474988733664,0.00012132977432661975,0.007782438381807467,0.012306305681700004,0.031043089402710854
Pennington,14156,13268,234,209,108,42,57,238,479,0.9372704153715739,0.016530093246679853,0.01476405764340209,0.007629273806159932,0.00296693981350664,0.004026561175473298,0.016812658943204294,0.03383724215880192
Pine,29067,26585,615,705,149,13,177,823,803,0.9146110709739568,0.02115801424295593,0.024254309010217773,0.005126088003577941,0.0004472425774933774,0.006089379708948292,0.028313895482849967,0.027625829979014003
Pipestone,9285,8609,125,124,91,0,121,215,491,0.9271943995691976,0.013462574044157244,0.013354873451803985,0.009800753904146474,0.0,0.013031771674744211,0.023155627355950458,0.05288099084544965
Polk,31550,29368,446,373,240,16,318,789,1880,0.9308399366085578,0.014136291600633915,0.011822503961965134,0.007606973058637084,0.0005071315372424723,0.010079239302694136,0.025007923930269415,0.059587955625990494
Pope,10975,10679,49,47,38,0,57,105,130,0.9730296127562642,0.004464692482915718,0.00428246013667426,0.0034624145785876995,0.0,0.005193621867881549,0.009567198177676537,0.01184510250569476
Ramsey,531528,363250,59572,3401,72239,174,10430,22462,38985,0.6834070829758734,0.11207688023961108,0.0063985340377176745,0.13590817416956397,0.0003273581071928478,0.01962267274724944,0.04225929772279165,0.07334514832708719
Red Lake,4042,3846,23,66,12,0,27,68,129,0.9515091538842158,0.005690252350321623,0.01632855022266205,0.0029688273132112814,0.0,0.006679861454725384,0.01682335477486393,0.031914893617021274
Redwood,15578,13931,102,768,490,0,140,147,451,0.8942739761201695,0.0065476954679676465,0.049300295288226985,0.03145461548337399,0.0,0.008987032995249711,0.009436384645012197,0.028951084863268712
Renville,14995,14000,45,204,75,0,504,167,1146,0.9336445481827276,0.0030010003334444814,0.013604534844948316,0.005001667222407469,0.0,0.033611203734578196,0.011137045681893965,0.07642547515838613
Rice,65116,57784,2718,271,1432,49,1708,1154,5059,0.8874009460040543,0.04174089317525646,0.004161803550586645,0.021991522820812088,0.0007525032250138214,0.02623011241476749,0.017722218809509183,0.07769211868050863
Rock,9554,9208,75,64,88,0,45,74,246,0.9637848021770986,0.007850115135021981,0.006698764915218757,0.00921080175842579,0.0,0.004710069081013188,0.007745446933221687,0.025748377642872095
Roseau,15609,14569,117,220,443,2,25,233,166,0.93337177269524,0.007495675571785508,0.014094432699083862,0.028381062207700685,0.00012813120635530784,0.001601640079441348,0.014927285540393362,0.01063489012749055
St. Louis,200353,185370,3053,3826,2111,77,612,5304,2943,0.9252169920091039,0.015238104745124855,0.019096295039255713,0.01053640324826681,0.0003843216722484814,0.003054608615793125,0.026473274670207086,0.014689073784769881
Scott,139490,118278,4202,979,8235,173,3209,4414,6617,0.8479317513800272,0.030124023227471503,0.00701842425980357,0.05903649007097283,0.0012402322747150332,0.023005233350060935,0.031643845436948884,0.047437092264678474
Sherburne,91188,85480,1901,471,1032,11,445,1848,2233,0.9374040443918059,0.020847041277361058,0.005165153309646006,0.011317278589288065,0.00012062990744396192,0.004880028073869369,0.020265824450585602,0.024487871211124272
Sibley,14957,14476,70,29,97,3,137,145,1237,0.9678411446145617,0.0046800829043257336,0.0019388914889349469,0.006485257738851374,0.00020057498161396003,0.009159590827037508,0.009694457444674735,0.08270375075215618
Stearns,153661,138458,6908,537,3064,22,2001,2671,4745,0.9010614274279095,0.04495610467197272,0.0034947058785248044,0.01993999778733706,0.00014317230787252457,0.013022172184223713,0.017382419742159688,0.030879663675233142
Steele,36541,33101,1079,50,433,5,1363,510,2636,0.9058591718891109,0.029528474863851566,0.0013683259899838537,0.011849703073260174,0.00013683259899838538,0.037300566486959855,0.013956925097835308,0.07213814619194878
Stevens,9762,9121,82,187,164,14,38,156,447,0.9343372259782832,0.008399918049580004,0.019155910674042206,0.01679983609916001,0.0014341323499282934,0.003892644949805368,0.015980331899200985,0.04578979717271051
Swift,9483,9073,172,21,17,0,139,61,407,0.9567647368976062,0.01813772013076031,0.002214489085732363,0.0017926816408309607,0.0,0.014657808710323737,0.006432563534746388,0.04291890751871771
Todd,24335,23266,69,58,116,0,345,481,1299,0.9560715019519211,0.002835422231354017,0.0023833983973700432,0.0047667967947400865,0.0,0.014177111156770084,0.019765769467844668,0.053379905485925624
Traverse,3397,3149,15,137,0,0,16,80,77,0.9269944068295555,0.004415660877244628,0.04032970267883427,0.0,0.0,0.0047100382690609364,0.023550191345304682,0.022667059169855754
Wabasha,21327,20755,46,51,88,0,62,325,613,0.9731795376752473,0.0021568903268157735,0.0023913349275566185,0.004126224973038871,0.0,0.002907113049186477,0.015238899048154921,0.02874290805082759
Wadena,13755,13260,111,119,35,0,28,202,236,0.9640130861504908,0.00806979280261723,0.008651399491094147,0.002544529262086514,0.0,0.002035623409669211,0.014685568884042167,0.017157397310069065
Waseca,19034,17752,509,133,93,0,225,322,1079,0.932646842492382,0.026741620258484818,0.006987496059682673,0.004885993485342019,0.0,0.011820951980666176,0.01691709572344226,0.05668803194283913
Washington,248745,216007,9796,944,12605,111,1910,7372,9493,0.8683873042674225,0.03938169611449476,0.003795051156807172,0.050674385414782204,0.0004462401254296569,0.00767854630243824,0.0296367766186255,0.038163581177511105
Watonwan,10996,9970,70,50,131,0,691,84,2489,0.9066933430338305,0.006365951255001819,0.004547108039287013,0.011913423062931975,0.0,0.06284103310294653,0.007639141506002182,0.22635503819570754
Wilkin,6479,6174,47,99,0,0,7,152,82,0.9529248340793333,0.0072542058959716,0.015280135823429542,0.0,0.0,0.0010804136440808766,0.02346041055718475,0.012656274116375984
Winona,51145,48034,755,170,1342,12,232,600,1400,0.9391729396812982,0.01476195131488904,0.0033238830775246847,0.026239124059047804,0.00023462704076644832,0.004536122788151334,0.011731352038322417,0.02737315475608564
Wright,129922,123077,1480,419,1412,9,1195,2330,3502,0.9473145425716969,0.011391450254768246,0.003225011930235064,0.010868059297116732,6.927233263034744e-05,0.009197826388140576,0.01793383722541217,0.02695463431905297
Yellow Medicine,10038,9288,24,331,61,0,134,200,416,0.9252839210998207,0.002390914524805738,0.03297469615461247,0.0060769077505479175,0.0,0.013349272763498704,0.019924287706714484,0.04144251842996613
